s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
0.0,0.010603343,-0.175611333,0.000247831,1.171,3.7642769805933463,-1.413639617818508e-05,-0.000809955838534872
0.999905749,-0.987430888,-0.236760172,0.000229022,1.141,3.7642628455295366,-2.1218045177555042e-05,-0.0012157044381918133
1.999811498,-1.985464804,-0.297914162,0.000210214,1.111,3.7642345485026287,-3.540648118112984e-05,-0.002028641939088114
2.999717247,-2.983498608,-0.359069962,0.000191406,1.082,3.7641920392413373,-4.9658047500335796e-05,-0.0028451965406294084
3.999622996,-3.981532507,-0.42022423,0.000172598,1.052,3.7641352417681877,-6.398121028926855e-05,-0.0036658533177140852
4.999528744,-4.979566704,-0.481373623,0.00015379,1.023,3.7640640888812342,-7.840205609651393e-05,-0.004492106919478174
5.999434493,-5.977601404,-0.5425148,0.000134982,0.995,3.763978452434696,-9.296493597596186e-05,-0.005326498474126525
6.999340242,-6.975636834,-0.603644074,0.000116175,0.966,3.763878176532823,-0.00010767866363884896,-0.0061695329701148445
7.999245991,-7.973673285,-0.664756667,9.74e-05,0.938,3.7637631154042297,-0.00012256681001955182,-0.00702256092250209
8.99915174,-8.971711063,-0.725847585,7.86e-05,0.91,3.7636330660156454,-0.0001376711618911812,-0.00788797653702698
9.999057489,-9.969750451,-0.786912196,5.98e-05,0.882,3.7634877990299973,-0.0001530167871926311,-0.00876721610078923
10.99896324,-10.96779167,-0.847946901,4.09e-05,0.855,3.7633270612825362,-0.0001686291685431244,-0.009661739660321253
11.99886899,-11.96583492,-0.908948284,2.21e-05,0.827,3.7631505724761443,-0.00018453300278698577,-0.010572962240570142
12.99877474,-12.96388028,-0.969915204,3.33e-06,0.8,3.7629580300572445,-0.00020075218561642875,-0.011502252963848278
13.99868048,-13.96192747,-1.030852282,-1.55e-05,0.774,3.7627491059433127,-0.00021731160967500079,-0.012451038073571853
14.99858623,-14.95997614,-1.091765035,-3.43e-05,0.747,3.762523447796465,-0.00023423539739336624,-0.01342069968320953
15.99849198,-15.95802605,-1.152657386,-5.31e-05,0.721,3.7622806792933314,-0.0002515480088623429,-0.014412639252731677
16.99839773,-16.95607719,-1.213529651,-7.19e-05,0.695,3.7620203991849297,-0.00026927309843426,-0.015428212076693872
17.99830348,-17.95412956,-1.274381621,-9.07e-05,0.669,3.761742183841427,-0.0002874340341443054,-0.0164687570448879
18.99820923,-18.95218339,-1.335209736,-0.000109506,0.644,3.7614455852821265,-0.0003060532891005268,-0.017535561771557424
19.99811498,-19.95023931,-1.3960036,-0.000128313,0.619,3.761130134935161,-0.00032515365142637645,-0.01862993191999929
20.99802073,-20.948298,-1.456751909,-0.00014719,0.594,3.7607953392478213,-0.0003447587603375885,-0.019753221917506062
21.99792648,-21.94636061,-1.517435934,-0.000166011,0.656,3.7604406823741963,-0.000364890174528121,-0.020906666986253347
22.99783222,-22.94442908,-1.578023319,-0.000184724,0.742,3.760065627651826,-0.0003855685548479537,-0.022091450905746143
23.99773797,-23.94250547,-1.638480272,-0.000203336,0.828,3.759669617909819,-0.0004068159437581689,-0.02330883661597454
