s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
0.0,0.242502441,0.134435569,-2.89e-05,12.128,12.102489008532839,-0.0002546572775801558,-0.014590787227634409
0.999860809,-0.24870963,1.00531578,-2.86e-05,12.125,12.102234386695756,-0.0003832223903484764,-0.021957025581882672
1.999721618,-0.739937706,1.876186962,-2.84e-05,12.121,12.101722670396843,-0.0006428064741203759,-0.036830098010782915
2.999582427,-1.231178171,2.747051155,-2.81e-05,12.117,12.10094895251622,-0.0009085082983052491,-0.05205369114550318
3.999443237,-1.722427414,3.617910396,-2.79e-05,12.111,12.099905906211836,-0.00118273751322084,-0.06776586777935255
4.999304046,-2.213681818,4.488766726,-2.76e-05,12.104,12.098583805638587,-0.0014677956168069803,-0.08409849403084141
5.999164855,-2.70493777,5.359622183,-2.73e-05,12.097,12.096970721478224,-0.0017658841374676556,-0.10117770818599635
6.999025664,-3.196191657,6.230478805,-2.71e-05,12.09,12.095052525283423,-0.002079116985052443,-0.11912462835746924
7.998886473,-3.687439863,7.101338632,-2.68e-05,12.097,12.09281306030605,-0.0024094765099408073,-0.1380528348555196
8.998747282,-4.178678774,7.972203702,-2.66e-05,12.104,12.090234233694106,-0.0027588099565206575,-0.15806816698730383
9.998608092,-4.669904532,8.843076193,-2.63e-05,12.111,12.087296194396927,-0.0031288074868975582,-0.1792674639081637
10.9984689,-5.16111141,9.713959333,-2.61e-05,12.116,12.083977469307252,-0.003521000724007418,-0.20173848114813225
11.99832971,-5.652292818,10.58485684,-2.58e-05,12.12,12.080255144035098,-0.003936743396262597,-0.22555878163184462
12.99819052,-6.143442163,11.45577242,-2.55e-05,12.123,12.076105037756465,-0.004377200362813913,-0.2507951068723699
13.99805133,-6.634552859,12.32670981,-2.53e-05,12.125,12.071501905930763,-0.0048433192032704886,-0.27750174918206344
14.99791214,-7.125620122,13.19767168,-2.5e-05,12.126,12.066419671900737,-0.00533586173948727,-0.30572235773795453
15.99777295,-7.616643369,14.06865837,-2.48e-05,12.127,12.060831566582214,-0.005855427616168425,-0.33549128965079933
