s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
0.0,3.98442026,2.208834694,-5.91e-07,11.906,11.84261901870905,-0.0004059599391790706,-0.02325979116634834
0.99986289,3.499632233,3.083309604,-2.64e-07,11.905,11.84221311440874,-0.0006090876883053648,-0.03489815389327719
1.999725781,3.014841844,3.957783205,6.35e-08,11.904,11.841401010205233,-0.0010156536260181354,-0.05819266621799766
2.999588671,2.530049314,4.832255618,3.91e-07,11.901,11.840182084969854,-0.0014230193064376758,-0.0815330004245124
3.999451562,2.045254862,5.706726967,7.18e-07,11.898,11.83855535989049,-0.0018315752387880208,-0.10494153104321954
4.999314452,1.56045871,6.581197373,1.05e-06,11.894,11.836519432649347,-0.002241793322942011,-0.1284452959451856
5.999177343,1.075661078,7.455666958,1.37e-06,11.888,11.834072380476984,-0.002654239758245157,-0.15207673596327143
6.999040233,0.590862186,8.330135845,1.7e-06,11.882,11.831211668511443,-0.003069584614605909,-0.17587424327520992
7.998903124,0.106062255,9.204604156,2.03e-06,11.873,11.827934033706967,-0.003488602832610755,-0.19988221870598025
8.998766014,-0.378738495,10.07907201,2.35e-06,11.862,11.824235391186134,-0.003912191434423125,-0.22415205783967662
9.998628905,-0.863539878,10.95353952,2.68e-06,11.852,11.820110683722548,-0.004341363391382877,-0.2487417996588406
10.9984918,-1.348341983,11.82800662,3.01e-06,11.841,11.815553800324011,-0.004777236639835015,-0.27371549719780525
11.99835469,-1.833145021,12.70247321,3.34e-06,11.83,11.810557447758095,-0.005221090207129523,-0.2991464333256065
12.99821758,-2.317949207,13.57693916,3.66e-06,11.819,11.805112956765226,-0.005674263955620058,-0.32511137650023714
13.99808047,-2.802754752,14.45140436,3.99e-06,11.808,11.799210354061437,-0.006138106028432637,-0.3516875696329978
14.99794336,-3.287561917,15.32586866,4.32e-06,11.801,11.792838273744342,-0.0066140364758930405,-0.37895637561425166
15.99780625,-3.772371062,16.20033187,4.64e-06,11.804,11.785983901944345,-0.007103504682552329,-0.4070008380616661
16.99766914,-4.257182565,17.07479376,4.97e-06,11.805,11.778632973369383,-0.007607897527951662,-0.4359004193196425
17.99753203,-4.741996804,17.94925414,5.3e-06,11.805,11.770769899595619,-0.008128519795836805,-0.46572987798999055
18.99739492,-5.226814168,18.82371279,5.63e-06,11.804,11.762377804770479,-0.00866666610949113,-0.49656339052290677
19.99725781,-5.711635242,19.69816937,5.95e-06,11.803,11.753438510021057,-0.009223604543656285,-0.5284736122491948
20.9971207,-6.196460771,20.57262349,6.29e-06,11.8,11.743932601902559,-0.0098004281697682,-0.5615231715488397
21.99698359,-6.681291505,21.44707473,6.63e-06,11.796,11.733839713673289,-0.010398024459023303,-0.5957629167758363
22.99684648,-7.166128193,22.32152266,6.95e-06,11.791,11.723138654919065,-0.011017092302608441,-0.6312328914455296
23.99670937,-7.65097159,23.19596687,7.27e-06,11.786,11.711807658777975,-0.011658105780682769,-0.6679602583501904
24.99657226,-8.135822483,24.07040693,7.55e-06,11.779,11.699824584017655,-0.012321300338542828,-0.7059585075116165
25.99643515,-8.620681664,24.94484239,7.8e-06,11.771,11.687167189908903,-0.013006639653892734,-0.7452255578155514
26.99629804,-9.105549928,25.81927281,8.01e-06,11.763,11.67381340458045,-0.013713823404805765,-0.785744202083099
27.99616093,-9.590428062,26.69369776,8.16e-06,11.753,11.659741584380756,-0.014442267644620943,-0.8274809826351244
28.99602382,-10.07531659,27.56811695,8.27e-06,11.743,11.644930821520909,-0.015191096542976072,-0.8703857180883041
29.99588671,-10.56021567,28.44253029,8.33e-06,11.731,11.62936122000838,-0.015959153571372238,-0.9143921442407641
30.9957496,-11.04512542,29.31693771,8.34e-06,11.719,11.613014180986099,-0.016744997521259002,-0.9594176859251659
31.9956125,-11.53004597,30.19133913,8.31e-06,11.705,11.59587268654799,-0.017546931012366422,-1.005365090415813
32.99547539,-12.01497745,31.0657345,8.23e-06,11.69,11.57792152881649,-0.018362991946846048,-1.0521219377869975
33.99533828,-12.49991993,31.94012377,8.11e-06,11.675,11.559147610169015,-0.019190982292386815,-1.099562290064062
34.99520117,-12.98487347,32.81450691,7.93e-06,11.659,11.539540114788227,-0.020028507253596367,-1.1475489355782273
35.99506406,-13.46983812,33.68888388,7.72e-06,11.641,11.519090731582354,-0.020872962415838723,-1.1959326523627496
36.99492695,-13.95481394,34.56325465,7.45e-06,11.623,11.497793850885659,-0.0217215985745329,-1.2445559225981202
37.99478984,-14.43980065,35.43761939,7.15e-06,11.603,11.47564665800725,-0.022571533950921367,-1.2932536325240425
38.99465273,-14.92479715,36.31197869,6.82e-06,11.583,11.452649305629915,-0.023419777124557558,-1.341854386374179
39.99451562,-15.40980221,37.18633325,6.45e-06,11.561,11.428804961611972,-0.02426326528798263,-1.3901826982076766
40.99437851,-15.8948146,38.06068374,6.07e-06,11.539,11.404119904968978,-0.025098899890448133,-1.4380610341440423
41.9942414,-16.37983311,38.93503084,5.66e-06,11.516,11.378603502459017,-0.025923565866752204,-1.485310914094301
42.99410429,-16.8648569,39.809375,5.25e-06,11.491,11.352268266167771,-0.026734151133070913,-1.531754028789851
43.99396718,-17.34988546,40.68371652,4.83e-06,11.452,11.325129791139798,-0.027527579021102772,-1.577214098122055
44.99383007,-17.83491829,41.55805568,4.41e-06,11.413,11.297206748090709,-0.02830087006416622,-1.6215204112248598
45.99369296,-18.31995488,42.43239274,4e-06,11.374,11.268520697387364,-0.029051096727267006,-1.6645052326987178
46.99355585,-18.8049946,43.30672807,3.61e-06,11.334,11.239096172320368,-0.02977535062819712,-1.7060019245178992
47.99341874,-19.29003624,44.18106234,3.23e-06,11.295,11.208960558646588,-0.030470866120229173,-1.745852026797301
48.99328163,-19.77507839,45.05539632,2.88e-06,11.256,11.178143930448906,-0.031135000378525398,-1.7839041168277259
49.99314452,-20.26011967,45.92973079,2.56e-06,11.217,11.146678969415056,-0.03176522143629284,-1.8200131235980705
50.99300741,-20.74515869,46.80406651,2.28e-06,11.178,11.114600824512436,-0.032359126710132254,-1.8540413892196306
51.99287031,-21.23019474,47.67840387,2.04e-06,11.139,11.08194699371403,-0.032914417110536234,-1.8858571855669082
52.9927332,-21.71522812,48.55274272,1.84e-06,11.099,11.048757236624905,-0.03342888262022395,-1.915333887977061
53.99259609,-22.20025919,49.42708285,1.68e-06,11.06,11.01507348332177,-0.033900422980354485,-1.9423511604826196
54.99245898,-22.68528833,50.30142405,1.56e-06,11.021,10.980939705337518,-0.034327110308574424,-1.9667985435613355
55.99232187,-23.17031588,51.17576613,1.49e-06,10.982,10.946401700622442,-0.03470713694292812,-1.9885724658123634
