s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
0.0,0.010603343,-0.175611333,0.000247831,1.171,2.5280751430349375,0.0009496145077108653,0.054408903456225954
0.999905749,-0.987430888,-0.236760172,0.000229022,1.141,2.5290246683259485,0.0014240645573344948,0.08159288888943239
1.999811498,-1.985464804,-0.297914162,0.000210214,1.111,2.5309230056357066,0.0023722508509710317,0.13591996170695814
2.999717247,-2.983498608,-0.359069962,0.000191406,1.082,2.5337687317530535,0.003318651405626452,0.1901447192175539
3.999622996,-3.981532507,-0.42022423,0.000172598,1.052,2.537559707238871,0.004262553060363567,0.24422630030940523
4.999528744,-4.979566704,-0.481373623,0.00015379,1.023,2.5422930859971533,0.0052032475545343865,0.298124124636587
5.999434493,-5.977601404,-0.5425148,0.000134982,0.995,2.5479653154267354,0.006139958696063592,0.351793719669092
6.999340242,-6.975636834,-0.603644074,0.000116175,0.966,2.554572000296484,0.007071961518576647,0.40519354789337036
7.999245991,-7.973673285,-0.664756667,9.74e-05,0.938,2.562108141159134,0.007998618012495528,0.4582870540533125
8.99915174,-8.971711063,-0.725847585,7.86e-05,0.91,2.5705680696990276,0.008919246898228927,0.5110352037036681
9.999057489,-9.969750451,-0.786912196,5.98e-05,0.882,2.579945426665206,0.009833160056506182,0.5633985705144263
10.99896324,-10.96779167,-0.847946901,4.09e-05,0.855,2.590233170078436,0.010739672982945763,0.6153379352734676
11.99886899,-11.96583492,-0.908948284,2.21e-05,0.827,2.6014235739871228,0.011638110525127181,0.6668146145965698
12.99877474,-12.96388028,-0.969915204,3.33e-06,0.8,2.6135082481901137,0.012527803642813784,0.7177902753018481
13.99868048,-13.96192747,-1.030852282,-1.55e-05,0.774,2.626478130406536,0.013408091154925658,0.7682270345039298
14.99858623,-14.95997614,-1.091765035,-3.43e-05,0.747,2.640323509881576,0.014278321942591016,0.8180875858395001
15.99849198,-15.95802605,-1.152657386,-5.31e-05,0.721,2.6550340234222554,0.015137850450141425,0.8673349416933172
16.99839773,-16.95607719,-1.213529651,-7.19e-05,0.695,2.6705986698955946,0.015986043274320055,0.9159328107320345
17.99830348,-17.95412956,-1.274381621,-9.07e-05,0.669,2.687005820150506,0.01682227866675115,0.9638455693978024
18.99820923,-18.95218339,-1.335209736,-0.000109506,0.644,2.704243229970249,0.01764594569219309,1.0110382136797202
19.99811498,-19.95023931,-1.3960036,-0.000128313,0.619,2.722298048441121,0.018456441073795918,1.0574761783604072
20.99802073,-20.948298,-1.456751909,-0.00014719,0.594,2.7411568245921814,0.019253177528945793,1.1031258146247094
21.99792648,-21.94636061,-1.517435934,-0.000166011,0.656,2.760805532439547,0.020035580274996804,1.1479541898528782
22.99783222,-22.94442908,-1.578023319,-0.000184724,0.742,2.7812295704387875,0.020803083229491513,1.1919288699092463
23.99773797,-23.94250547,-1.638480272,-0.000203336,0.828,2.8024137797255806,0.021555150232484444,1.2350191350917938
24.99764372,-24.9405917,-1.698774597,-0.00022189,0.915,2.82434248507026,0.022291280568971745,1.2771962965440613
25.99754947,-25.93868952,-1.75887674,-0.000240452,1.001,2.8469995241049237,0.023010937987314798,1.318429629310399
26.99745522,-26.93680066,-1.818757399,-0.000259091,1.088,2.8703681473493727,0.02371357895323873,1.3586879911708358
27.99736097,-27.93492681,-1.878387553,-0.000277864,1.175,2.8944311031288734,0.02439871015580734,1.3979431174907397
28.99726672,-28.93306959,-1.937738599,-0.0002968,1.262,2.919170652884446,0.02506585760377397,1.4361678505721513
29.99717247,-29.93123061,-1.996782118,-0.000315893,1.348,2.944568594277507,0.025714560736337978,1.4733358022249845
30.99707822,-30.92941109,-2.055495952,-0.000335093,1.436,2.970606264733459,0.026344376919867674,1.509421611410273
31.99698396,-31.92761171,-2.113866359,-0.000354125,1.523,2.9972645732994447,0.026954882292475443,1.54440099263076
32.99688971,-32.92583314,-2.171879986,-0.000372822,1.61,3.024524006946439,0.02754566512849413,1.5782503557434
33.99679546,-33.92407643,-2.229516526,-0.000391008,1.697,3.052364647881769,0.028116335308036904,1.610947348525174
34.99670121,-34.92234305,-2.286747223,-0.000408507,1.785,3.0807661987627304,0.02866651856253392,1.642470526966625
35.99660696,-35.92063453,-2.343542941,-0.000425148,1.873,3.109707989894444,0.02919585716847464,1.672799395020367
36.99651271,-36.91895212,-2.399878019,-0.000440772,1.96,3.1391690047701553,0.029704111673606638,1.7019202330829406
37.99641846,-37.91729682,-2.45573062,-0.000455234,2.048,3.1691280911748514,0.030190991554852723,1.729816395408172
38.99632421,-38.91566963,-2.511078986,-0.000468411,2.136,3.199563647817706,0.030656105478472362,1.7564654602243475
39.99622996,-39.91407161,-2.565898781,-0.0004802,2.224,3.2304537358746095,0.03109915239377239,1.7818501785973293
40.9961357,-40.91250392,-2.62016311,-0.00049052,2.312,3.2617761478214207,0.031519870847247784,1.8059555703447403
41.99604145,-41.91096769,-2.673845493,-0.000499312,2.4,3.2935084187980728,0.03191801478228942,1.828767537461357
42.9959472,-42.90946347,-2.726929454,-0.000506537,2.489,3.325627845491118,0.03229336135714184,1.8502733120550916
