s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
0.0,-0.250744036,4.152793752,-2.3e-05,1.214,2.356947905915198,0.000929676384433659,0.053266533141030484
0.999896694,-1.248832689,4.092690091,-2.28e-05,1.175,2.3578774865262946,0.001394190803673118,0.07988124888642202
1.999793388,-2.246925934,4.032662815,-2.26e-05,1.136,2.359736001272464,0.002322571258340774,0.13307353072131514
2.999690082,-3.245023252,3.972703314,-2.25e-05,1.097,2.362522157523527,0.0032493312475297387,0.18617296672343264
3.999586776,-4.243124123,3.912802979,-2.23e-05,1.059,2.366234015285722,0.004173826274542222,0.23914262995208094
4.99948347,-5.241228027,3.852953199,-2.22e-05,1.021,2.3708689961796807,0.0050954055915950255,0.2919452353057554
5.999380164,-6.239334446,3.793145364,-2.2e-05,0.983,2.376423861883991,0.006013396325931851,0.34454223001537065
6.999276857,-7.23744277,3.733369333,-2.18e-05,0.945,2.3828946913395006,0.006927163526640634,0.39689723407346755
7.999173551,-8.235552099,3.673610101,-2.17e-05,0.908,2.3902769792793013,0.007836097453052531,0.4489753119131238
8.999070245,-9.233661478,3.613851709,-2.15e-05,0.871,2.398565587969275,0.00873956762235594,0.500740339530179
9.998966939,-10.23177033,3.554084562,-2.14e-05,0.834,2.407754753811119,0.009636946802398773,0.5521563791695439
10.99886363,-11.22987917,3.494317116,-2.12e-05,0.797,2.4178380870571106,0.01052761145243522,0.6031877045781288
11.99876033,-12.22798869,3.434560992,-2.1e-05,0.761,2.4288085794251906,0.01141094613922926,0.6537990540289377
12.99865702,-13.22609928,3.37482291,-2.09e-05,0.725,2.440658612213101,0.012286340145944272,0.7039554360247547
13.99855371,-14.22421061,3.31509714,-2.07e-05,0.689,2.453379957509786,0.013153187826637956,0.7536221496092068
14.99845041,-15.22232222,3.255376038,-2.06e-05,0.654,2.466963787291179,0.014010893358554167,0.802765056653029
15.9983471,-16.220434,3.195657762,-2.04e-05,0.618,2.4814006829976254,0.014858866917993596,0.8513503627475941
16.9982438,-17.21854663,3.13595367,-2.02e-05,0.583,2.4966806381896793,0.015696525462739683,0.8993446620346154
17.99814049,-18.2166609,3.076276924,-2.01e-05,0.548,2.512793069067893,0.01652329691771885,0.9467151770268118
18.99803718,-19.2147774,3.016637682,-1.99e-05,0.514,2.529726825452338,0.017338616521902973,0.993429549300839
19.99793388,-20.21289639,2.957039966,-1.98e-05,0.479,2.5474701948170804,0.018141928102882923,1.0394559125249718
20.99783057,-21.21101805,2.897487018,-1.96e-05,0.451,2.56601091416368,0.01893268738658753,1.084763082092034
21.99772727,-22.20914237,2.837978746,-1.95e-05,0.532,2.5853361823279783,0.01971035780264974,1.1293203147845812
22.99762396,-23.20726899,2.778508941,-1.93e-05,0.614,2.6054326626370163,0.020474416162072222,1.1730976340811792
23.99752065,-24.20539749,2.719070741,-1.91e-05,0.696,2.62628650653692,0.021224348544659023,1.216065594523593
24.99741735,-25.20352747,2.659657388,-1.89e-05,0.777,2.6478833490507316,0.021959710984978547,1.2581987587663426
25.99731404,-26.20165853,2.600262305,-1.87e-05,0.859,2.6702084517818507,0.022680010937112655,1.2994689060071023
26.99721074,-27.1997903,2.540879003,-1.85e-05,0.941,2.6932464632779927,0.023384705283377112,1.3398449178947862
27.99710743,-28.19792262,2.48150502,-1.82e-05,1.024,2.716981557016349,0.024073328946463503,1.3793001474624753
28.99700412,-29.1960557,2.422143892,-1.78e-05,1.106,2.7413974490684323,0.024745429175826554,1.4178086540147528
29.99690082,-30.19418978,2.362799447,-1.73e-05,1.188,2.7664774058283874,0.02540056718255998,1.4553452967991913
30.99679751,-31.19232458,2.303467179,-1.67e-05,1.271,2.792204262554945,0.026038317147033658,1.4918856781481513
31.99669421,-32.19045917,2.244131362,-1.6e-05,1.354,2.8185604315367594,0.026658267016192866,1.5274061891606614
32.9965909,-33.1885926,2.184775996,-1.51e-05,1.436,2.8455279210418802,0.027260020242542857,1.5618841093388964
33.99648759,-34.18672494,2.125402397,-1.41e-05,1.519,2.873088346948485,0.027843191467664206,1.5952973592718234
34.99638429,-35.18485753,2.066032942,-1.29e-05,1.602,2.9012229444374316,0.02840741069925384,1.6276247399620238
35.99628098,-36.18299174,2.006690738,-1.17e-05,1.686,2.9299125852741583,0.028952376904493482,1.6588490034995154
36.99617768,-37.18112806,1.947384068,-1.03e-05,1.769,2.9591378995133306,0.029477827233775254,1.6889550897111203
37.99607437,-38.17926602,1.888104924,-8.96e-06,1.852,2.988879229854539,0.029983397475487197,1.7179221308086237
38.99597106,-39.17740511,1.828844896,-7.56e-06,1.936,3.0191164740339893,0.030468713406423226,1.7457286853817207
39.99586776,-40.17554543,1.769605445,-6.17e-06,2.019,3.049829223516994,0.03093348278288758,1.772358009100055
40.99576445,-41.17368763,1.710397836,-4.82e-06,2.103,3.08099678704409,0.03137742872415606,1.7977942378667016
41.99566114,-42.17183237,1.651233057,-3.51e-06,2.187,3.1125981986989304,0.0318002910382203,1.8220224637777183
42.99555784,-43.16997951,1.592108689,-2.29e-06,2.271,3.144612244199034,0.03220182909253294,1.8450288996037272
43.99545453,-44.16812818,1.533010273,-1.15e-06,2.355,3.1770174718927504,0.03258181521608174,1.8668005007566102
44.99535123,-45.16627755,1.473923566,-1.02e-07,2.44,3.2097922090016504,0.03294003679642258,1.8873250854406467
45.99524792,-46.16442738,1.414844725,8.53e-07,2.524,3.2429145752654946,0.03327629767844013,1.9065914147955987
46.99514461,-47.16257796,1.355778358,1.73e-06,2.609,3.27636250198511,0.03359042004042011,1.9245893003877323
47.99504131,-48.16072947,1.296727859,2.54e-06,2.693,3.310113751106554,0.033882244647277786,1.9413096187187417
48.994938,-49.15888092,1.237676344,3.28e-06,2.778,3.344145931460425,0.034151622728562946,1.9567438458697135
49.9948347,-50.15703043,1.17859206,3.99e-06,2.863,3.3784365049309506,0.03439842336148083,1.9708844805170656
50.99473139,-51.15517625,1.11944557,4.65e-06,2.948,3.412962815827709,0.03462253477336396,1.983725118558687
51.99462808,-52.15331855,1.060239473,5.29e-06,3.037,3.447702099664159,0.034823860759269624,1.995260247857392
52.99452478,-53.15145872,1.000997566,5.91e-06,3.139,3.4826315071024676,0.035002319676477475,2.0054851906298765
