time,speed
0,0
1,5.544
2,14.58
3,21.528
4,25.38
5,27.396
6,27.576
7,27.252
8,27
9,26.748
10,26.604
11,25.272
12,25.884
13,26.064
14,25.812
15,25.02
16,23.508
17,22.788
18,24.552
19,24.336
20,24.3
21,26.532
22,25.848
23,26.532
24,24.66
25,24.912
26,25.596
27,24.804
28,24.084
29,24.66
30,23.868
31,23.976
32,24.48
33,23.328
34,23.328
35,23.004
36,22.572
37,22.428
38,22.716
39,22.104
40,21.528
41,21.096
42,20.412
43,19.908
44,19.476
45,20.16
46,20.34
47,20.412
48,20.412
49,20.268
50,19.944
51,19.584
52,18.9
53,18.828
54,18.612
55,18.324
56,18.396
57,18.18
58,18
59,18.864
60,23.544
61,25.2
62,25.596
63,25.128
64,25.272
65,25.164
66,24.984
67,24.66
68,24.912
69,25.02
70,24.228
71,23.976
72,23.796
73,23.94
74,23.976
75,23.796
76,23.436
77,23.868
78,22.86
79,23.508
80,23.076
81,23.076
82,22.572
83,23.22
84,23.112
85,22.32
86,22.608
87,20.952
88,22.68
89,22.356
90,22.86
91,22.824
92,22.644
93,22.86
94,22.716
95,22.824
96,23.004
97,22.32
98,22.536
99,22.356
100,21.96
101,21.744
102,20.808
103,21.024
104,21.096
105,20.592
106,20.628
107,20.052
108,19.692
109,18.648
110,18.792
111,21.456
112,25.452
113,25.884
114,26.316
115,25.776
116,25.596
117,25.56
118,26.208
119,24.84
120,25.488
121,25.056
122,25.524
123,25.308
124,25.236
125,25.128
126,25.128
127,25.056
128,24.804
129,24.66
130,24.516
131,24.192
132,24.12
133,23.796
134,23.58
135,23.508
136,23.364
137,23.256
138,22.932
139,22.428
140,22.968
141,22.824
142,22.752
143,22.608
144,22.32
145,22.14
146,21.744
147,20.808
148,20.484
149,20.232
150,20.052
151,19.908
152,19.512
153,19.404
154,19.584
155,19.296
156,18.792
157,18.72
158,18.504
159,18.288
160,18
161,17.892
162,19.332
163,23.472
164,26.424
165,26.748
166,26.748
167,26.316
168,26.1
169,27.612
170,25.956
171,25.596
172,25.236
173,25.524
174,24.984
175,25.344
176,24.912
177,24.732
178,24.516
179,23.796
180,23.616
181,23.4
182,22.5
183,22.68
184,22.392
185,22.14
186,21.924
187,21.096
188,20.7
189,20.412
190,19.62
191,19.584
192,19.224
193,18.324
194,20.196
195,23.796
196,25.38
197,25.128
198,24.804
199,25.128
200,24.444
201,23.976
202,23.148
203,22.896
204,23.112
205,21.132
206,22.86
207,22.752
208,22.536
209,22.464
210,22.428
211,22.392
212,22.284
213,22.068
214,22.176
215,22.428
216,22.5
217,22.644
218,22.86
219,23.148
220,22.86
221,22.896
222,22.896
223,22.896
224,22.5
225,22.68
226,22.536
227,22.428
228,22.284
229,22.176
230,21.78
231,21.96
232,21.78
233,21.456
234,20.952
235,20.916
236,20.592
237,20.268
238,19.692
239,19.26
240,19.116
241,18.504
242,18.36
243,18.108
244,17.928
245,17.496
246,17.532
247,16.704
248,16.272
249,15.336
250,15.552
251,15.048
252,14.58
253,15.192
254,15.768
255,18.54
256,23.868
257,26.604
258,28.008
259,27.432
260,27.288
261,27.072
262,27.504
263,27.396
264,27.468
265,27.792
266,28.044
267,27.792
268,28.188
269,27.684
270,26.748
271,27.54
272,27.432
273,27.72
274,26.964
275,27.108
276,27.648
277,27.648
278,28.188
279,27.72
280,27.396
281,27.36
282,26.712
283,27.036
284,27.036
285,27.324
286,27.828
287,26.676
288,25.74
289,25.92
290,25.848
291,25.668
292,26.244
293,26.136
294,25.992
295,26.028
296,25.596
297,26.46
298,26.46
299,26.028
300,25.74
301,24.768
302,23.544
303,23.724
304,23.616
305,23.4
306,23.868
307,22.932
308,23.004
309,22.572
310,22.068
311,21.708
312,21.456
313,21.168
314,20.808
315,20.484
316,20.124
317,19.8
318,19.728
319,19.368
320,19.296
321,19.368
322,19.368
323,19.008
324,19.044
325,19.008
326,18.9
327,18.972
328,18.684
329,19.332
330,19.224
331,19.728
332,19.872
333,22.392
334,26.316
335,28.332
336,28.656
337,28.584
338,28.728
339,28.692
340,28.728
341,28.548
342,28.908
343,28.512
344,27.756
345,28.008
346,27.576
347,27.432
348,27.576
349,27.144
350,26.82
351,26.892
352,26.388
353,26.496
354,26.352
355,26.352
356,26.1
357,25.776
358,25.812
359,25.488
360,25.452
361,25.38
362,25.092
363,25.02
364,24.3
365,24.876
366,24.588
367,24.012
368,24.372
369,24.696
370,24.3
371,22.212
372,23.652
373,23.616
374,23.94
375,23.22
376,22.356
377,22.824
378,23.472
379,23.472
380,23.184
381,22.572
382,22.464
383,22.248
384,25.272
385,23.112
386,22.572
387,22.716
388,22.068
389,21.996
390,21.636
391,21.96
392,21.528
393,21.852
394,21.528
395,19.98
396,20.412
397,20.592
398,19.656
399,19.728
400,19.656
401,19.152
402,19.08
403,19.224
404,19.08
405,17.352
406,17.352
407,16.776
408,17.172
409,17.28
410,17.352
411,17.496
412,17.136
413,17.82
414,16.956
415,16.668
416,16.812
417,16.02
418,16.452
419,16.344
420,16.236
421,16.884
422,19.224
423,22.356
424,26.856
425,26.964
426,26.604
427,26.82
428,26.856
429,26.496
430,26.532
431,27.072
432,25.812
433,25.74
434,25.056
435,25.344
436,25.344
437,25.452
438,25.488
439,25.164
440,25.272
441,24.912
