time,Speed,State,,
0,0,1,0,0
1,1.116,1,0.31,0.155
2,6.804,1,1.89,1.255
3,9.216,1,2.56,3.48
4,11.772,1,3.27,6.395
5,13.932,1,3.87,9.965
6,16.2,1,4.5,14.15
7,17.604,1,4.89,18.845
8,18.864,1,5.24,23.91
9,20.268,1,5.63,29.345
10,22.5,1,6.25,35.285
11,24.228,0,6.73,41.775
12,24.516,0,6.81,48.545
13,24.336,0,6.76,55.33
14,24.12,0,6.7,62.06
15,23.904,0,6.64,68.73
16,23.904,0,6.64,75.37
17,23.76,0,6.6,81.99
18,23.652,0,6.57,88.575
19,23.724,0,6.59,95.155
20,23.544,0,6.54,101.72
21,23.58,0,6.55,108.265
22,23.58,0,6.55,114.815
23,24.012,0,6.67,121.425
24,23.976,0,6.66,128.09
25,23.544,0,6.54,134.69
26,23.724,0,6.59,141.255
27,23.76,0,6.6,147.85
28,23.544,0,6.54,154.42
29,23.4,0,6.5,160.94
30,23.184,0,6.44,167.41
31,23.04,0,6.4,173.83
32,22.68,0,6.3,180.18
33,22.464,0,6.24,186.45
34,22.068,0,6.13,192.635
35,21.78,0,6.05,198.725
36,21.672,0,6.02,204.76
37,21.384,0,5.94,210.74
38,21.42,0,5.95,216.685
39,21.096,0,5.86,222.59
40,20.736,0,5.76,228.4
41,20.664,0,5.74,234.15
42,20.232,0,5.62,239.83
43,20.16,0,5.6,245.44
44,20.16,0,5.6,251.04
45,19.836,0,5.51,256.595
46,19.368,0,5.38,262.04
47,19.152,0,5.32,267.39
48,18.504,0,5.14,272.62
49,18.036,0,5.01,277.695
50,17.964,0,4.99,282.695
51,17.856,0,4.96,287.67
52,18.036,0,5.01,292.655
53,18.108,0,5.03,297.675
54,18.324,0,5.09,302.735
55,18.468,0,5.13,307.845
56,18.432,0,5.12,312.97
57,17.784,0,4.94,318
58,17.46,0,4.85,322.895
59,17.28,0,4.8,327.72
60,17.136,0,4.76,332.5
61,16.74,0,4.65,337.205
62,16.524,0,4.59,341.825
63,16.416,0,4.56,346.4
64,16.776,1,4.66,351.01
65,20.016,1,5.56,356.12
66,23.508,1,6.53,362.165
67,25.632,0,7.12,368.99
68,26.316,0,7.31,376.205
69,26.28,0,7.3,383.51
70,26.208,0,7.28,390.8
71,26.208,0,7.28,398.08
72,26.028,0,7.23,405.335
73,25.776,0,7.16,412.53
74,25.488,0,7.08,419.65
75,25.092,0,6.97,426.675
76,24.876,0,6.91,433.615
77,24.804,0,6.89,440.515
78,24.876,0,6.91,447.415
79,24.552,0,6.82,454.28
80,24.804,0,6.89,461.135
81,24.588,0,6.83,467.995
82,24.3,0,6.75,474.785
83,24.156,0,6.71,481.515
84,24.192,0,6.72,488.23
85,24.192,0,6.72,494.95
86,23.976,0,6.66,501.64
87,23.94,0,6.65,508.295
88,24.12,0,6.7,514.97
89,24.3,0,6.75,521.695
90,24.012,0,6.67,528.405
91,23.652,0,6.57,535.025
92,23.436,0,6.51,541.565
93,23.184,0,6.44,548.04
94,23.328,0,6.48,554.5
95,23.4,0,6.5,560.99
96,23.436,0,6.51,567.495
97,23.4,0,6.5,574
98,23.472,0,6.52,580.51
99,23.292,0,6.47,587.005
100,23.076,0,6.41,593.445
101,23.148,0,6.43,599.865
102,23.328,0,6.48,606.32
103,23.436,0,6.51,612.815
104,23.364,0,6.49,619.315
105,23.112,0,6.42,625.77
106,22.932,0,6.37,632.165
107,22.572,0,6.27,638.485
108,22.428,0,6.23,644.735
109,22.356,0,6.21,650.955
110,21.96,0,6.1,657.11
111,21.888,0,6.08,663.2
112,21.564,0,5.99,669.235
113,21.24,0,5.9,675.18
114,20.88,0,5.8,681.03
115,20.52,0,5.7,686.78
116,20.376,0,5.66,692.46
117,20.016,0,5.56,698.07
118,19.764,1,5.49,703.595
119,22.356,1,6.21,709.445
120,24.804,1,6.89,715.995
121,26.136,0,7.26,723.07
122,26.28,0,7.3,730.35
123,26.136,0,7.26,737.63
124,26.172,0,7.27,744.895
125,26.136,0,7.26,752.16
126,26.496,0,7.36,759.47
127,26.424,0,7.34,766.82
128,26.1,0,7.25,774.115
129,25.956,0,7.21,781.345
130,25.74,0,7.15,788.525
131,25.776,0,7.16,795.68
132,25.632,0,7.12,802.82
133,25.416,0,7.06,809.91
134,25.2,0,7,816.94
135,24.948,0,6.93,823.905
136,24.696,0,6.86,830.8
137,24.372,0,6.77,837.615
138,23.868,0,6.63,844.315
139,23.724,0,6.59,850.925
140,23.364,0,6.49,857.465
141,23.148,0,6.43,863.925
142,23.076,0,6.41,870.345
143,22.86,0,6.35,876.725
144,22.896,0,6.36,883.08
145,22.608,0,6.28,889.4
146,22.392,0,6.22,895.65
147,22.392,0,6.22,901.87
148,22.176,0,6.16,908.06
149,21.96,0,6.1,914.19
150,21.78,0,6.05,920.265
151,21.384,0,5.94,926.26
152,21.312,0,5.92,932.19
153,20.844,0,5.79,938.045
154,20.376,0,5.66,943.77
155,20.016,0,5.56,949.38
156,19.62,0,5.45,954.885
157,19.296,0,5.36,960.29
158,19.116,0,5.31,965.625
159,18.9,0,5.25,970.905
160,18.72,0,5.2,976.13
161,18.504,0,5.14,981.3
162,18.576,0,5.16,986.45
163,18.432,0,5.12,991.59
164,18.216,0,5.06,996.68
165,18.216,0,5.06,1001.74
166,17.856,0,4.96,1006.75
167,17.64,0,4.9,1011.68
168,17.568,0,4.88,1016.57
169,17.496,1,4.86,1021.44
170,18.756,1,5.21,1026.475
171,23.04,1,6.4,1032.28
172,25.272,1,7.02,1038.99
173,26.388,0,7.33,1046.165
174,26.46,0,7.35,1053.505
175,26.604,0,7.39,1060.875
176,26.64,0,7.4,1068.27
177,26.1,0,7.25,1075.595
178,26.244,0,7.29,1082.865
179,25.884,0,7.19,1090.105
180,25.668,0,7.13,1097.265
181,25.56,0,7.1,1104.38
182,25.596,0,7.11,1111.485
183,25.344,0,7.04,1118.56
184,25.02,0,6.95,1125.555
185,24.66,0,6.85,1132.455
186,24.3,0,6.75,1139.255
187,23.724,0,6.59,1145.925
188,23.22,0,6.45,1152.445
189,22.86,0,6.35,1158.845
190,22.68,0,6.3,1165.17
191,22.392,0,6.22,1171.43
192,21.924,0,6.09,1177.585
193,21.564,0,5.99,1183.625
194,21.168,0,5.88,1189.56
195,20.7,0,5.75,1195.375
196,20.232,0,5.62,1201.06
197,19.944,0,5.54,1206.64
198,19.656,0,5.46,1212.14
199,19.332,0,5.37,1217.555
200,18.864,0,5.24,1222.86
201,18.396,0,5.11,1228.035
202,17.928,0,4.98,1233.08
203,18.36,1,5.1,1238.12
204,22.572,1,6.27,1243.805
205,24.48,0,6.8,1250.34
206,24.192,0,6.72,1257.1
207,24.012,0,6.67,1263.795
208,24.012,0,6.67,1270.465
209,23.328,0,6.48,1277.04
210,23.004,0,6.39,1283.475
211,22.464,0,6.24,1289.79
212,22.284,0,6.19,1296.005
213,22.176,0,6.16,1302.18
214,22.32,0,6.2,1308.36
215,22.176,0,6.16,1314.54
216,22.14,0,6.15,1320.695
217,21.888,0,6.08,1326.81
218,21.996,0,6.11,1332.905
219,22.032,0,6.12,1339.02
220,22.068,0,6.13,1345.145
221,22.068,0,6.13,1351.275
222,22.104,0,6.14,1357.41
223,21.996,0,6.11,1363.535
224,22.14,0,6.15,1369.665
225,22.284,0,6.19,1375.835
226,22.356,0,6.21,1382.035
227,22.356,0,6.21,1388.245
228,22.608,0,6.28,1394.49
229,22.572,0,6.27,1400.765
230,22.644,0,6.29,1407.045
231,22.572,0,6.27,1413.325
232,22.464,0,6.24,1419.58
233,22.5,0,6.25,1425.825
234,22.428,0,6.23,1432.065
235,22.32,0,6.2,1438.28
236,22.248,0,6.18,1444.47
237,22.176,0,6.16,1450.64
238,21.96,0,6.1,1456.77
239,21.816,0,6.06,1462.85
240,21.672,0,6.02,1468.89
241,21.6,0,6,1474.9
242,21.384,0,5.94,1480.87
243,21.132,0,5.87,1486.775
244,20.844,0,5.79,1492.605
