s,velocity,energy,time
0,0,0,0
1.40E-38,4.51E-33,0,3.16E-30
1.74E-38,9.92E-33,7.82E-44,6.93E-30
2.09E-38,1.53E-32,1.56E-43,1.07E-29
2.08E-15,3.27E-09,4.73E-20,2.28E-06
1.04E-14,9.81E-09,8.02E-19,6.85E-06
2.70E-14,1.63E-08,4.42E-18,1.14E-05
6.98E-14,2.66E-08,2.92E-17,1.86E-05
2.71E-13,5.26E-08,4.72E-16,3.69E-05
6.05E-13,7.86E-08,2.16E-15,5.52E-05
1.07E-12,1.05E-07,6.47E-15,7.35E-05
1.67E-12,1.31E-07,1.53E-14,9.18E-05
2.40E-12,1.57E-07,3.09E-14,0.000110124
3.26E-12,1.83E-07,5.61E-14,0.000128429
4.52E-12,2.16E-07,1.06E-13,0.000151024
5.98E-12,2.50E-07,1.81E-13,0.00017362
8.38E-12,2.99E-07,3.46E-13,0.000205083
1.12E-11,3.51E-07,6.02E-13,0.000236546
1.56E-11,4.24E-07,1.12E-12,0.000277618
2.09E-11,5.05E-07,1.89E-12,0.000318691
2.90E-11,6.19E-07,3.35E-12,0.000370248
3.88E-11,7.51E-07,5.48E-12,0.000421804
5.41E-11,9.48E-07,9.37E-12,0.000486553
7.33E-11,1.18E-06,1.49E-11,0.000551302
1.04E-10,1.55E-06,2.49E-11,0.000633181
1.45E-10,1.99E-06,3.89E-11,0.00071506
1.96E-10,2.53E-06,5.78E-11,0.000796939
2.76E-10,3.31E-06,8.81E-11,0.000895911
3.80E-10,4.25E-06,1.28E-10,0.000994883
5.46E-10,5.62E-06,1.92E-10,0.001115891
7.62E-10,7.25E-06,2.76E-10,0.001236898
1.12E-09,9.70E-06,4.14E-10,0.001389911
1.60E-09,1.26E-05,5.93E-10,0.001542924
2.44E-09,1.72E-05,9.05E-10,0.001746341
3.56E-09,2.25E-05,1.31E-09,0.001949758
5.74E-09,3.16E-05,2.08E-09,0.00223919
9.42E-09,4.47E-05,3.35E-09,0.002586876
1.65E-08,6.58E-05,5.72E-09,0.003049076
3.06E-08,9.99E-05,1.03E-08,0.003660339
6.26E-08,0.000161423,2.05E-08,0.004542437
1.11E-07,0.000236856,3.57E-08,0.005424534
1.80E-07,0.000325741,5.71E-08,0.006306632
2.73E-07,0.000427737,8.56E-08,0.00718873
3.92E-07,0.000542685,1.22E-07,0.008070827
5.40E-07,0.000670626,1.68E-07,0.008952925
7.22E-07,0.000811794,2.24E-07,0.009835023
9.40E-07,0.000966581,2.92E-07,0.01071712
1.20E-06,0.001135488,3.72E-07,0.011599218
1.50E-06,0.001319054,4.65E-07,0.012481316
1.93E-06,0.001565986,5.99E-07,0.013567354
2.45E-06,0.001836754,7.57E-07,0.014653392
3.04E-06,0.002131988,9.41E-07,0.01573943
3.94E-06,0.002541916,1.21E-06,0.017115641
5.00E-06,0.002992292,1.53E-06,0.018491851
6.23E-06,0.003483334,1.91E-06,0.019868061
8.09E-06,0.004164571,2.46E-06,0.021613167
1.03E-05,0.004911262,3.11E-06,0.023358274
1.29E-05,0.005723308,3.86E-06,0.02510338
1.67E-05,0.006847657,4.98E-06,0.027317859
2.13E-05,0.008076798,6.30E-06,0.029532337
2.67E-05,0.009410476,7.84E-06,0.031746816
3.29E-05,0.010848436,9.60E-06,0.033961294
4.01E-05,0.01239042,1.16E-05,0.036175773
4.82E-05,0.014036173,1.39E-05,0.038390251
5.74E-05,0.01578544,1.64E-05,0.04060473
7.00E-05,0.018044323,1.99E-05,0.04328913
8.43E-05,0.020454484,2.38E-05,0.045973531
1.01E-04,0.023015469,2.82E-05,0.048657931
0.000118725,0.025726823,3.31E-05,0.051342331
0.000144222,0.029304964,4.00E-05,0.054678153
0.000173141,0.03311374,4.77E-05,0.058013975
0.000205696,0.037152285,5.64E-05,0.061349797
0.000242099,0.041419732,6.61E-05,0.064685619
0.000293042,0.047041746,7.95E-05,0.068831928
