s,velocity,energy
0,0,0
1.40E-38,4.51E-33,0
1.74E-38,9.92E-33,7.82E-44
2.09E-38,1.53E-32,1.56E-43
2.08E-15,3.27E-09,4.73E-20
1.04E-14,9.81E-09,8.02E-19
2.70E-14,1.63E-08,4.42E-18
6.98E-14,2.66E-08,2.92E-17
2.69E-13,5.24E-08,4.64E-16
5.99E-13,7.82E-08,2.12E-15
1.06E-12,1.04E-07,6.33E-15
1.65E-12,1.30E-07,1.49E-14
2.37E-12,1.56E-07,3.02E-14
3.22E-12,1.82E-07,5.47E-14
4.46E-12,2.15E-07,1.03E-13
5.90E-12,2.49E-07,1.76E-13
8.25E-12,2.97E-07,3.36E-13
1.10E-11,3.48E-07,5.82E-13
1.54E-11,4.21E-07,1.08E-12
2.06E-11,5.01E-07,1.83E-12
2.86E-11,6.15E-07,3.25E-12
3.83E-11,7.47E-07,5.33E-12
5.34E-11,9.43E-07,9.12E-12
7.23E-11,1.18E-06,1.45E-11
1.03E-10,1.54E-06,2.43E-11
1.43E-10,1.99E-06,3.79E-11
1.94E-10,2.53E-06,5.63E-11
2.74E-10,3.32E-06,8.60E-11
3.78E-10,4.27E-06,1.25E-10
5.43E-10,5.65E-06,1.88E-10
7.60E-10,7.30E-06,2.70E-10
1.12E-09,9.78E-06,4.04E-10
1.59E-09,1.27E-05,5.78E-10
2.43E-09,1.73E-05,8.80E-10
3.55E-09,2.27E-05,1.27E-09
5.70E-09,3.18E-05,2.01E-09
8.64E-09,4.26E-05,3.00E-09
1.52E-08,6.28E-05,5.12E-09
2.76E-08,9.43E-05,9.04E-09
5.61E-08,0.000151951,1.78E-08
9.95E-08,0.000222628,3.10E-08
1.61E-07,0.000305918,4.93E-08
2.43E-07,0.000401492,7.37E-08
3.48E-07,0.00050917,1.05E-07
4.80E-07,0.000628937,1.44E-07
6.41E-07,0.000760952,1.92E-07
8.34E-07,0.000905519,2.50E-07
1.06E-06,0.00106305,3.18E-07
1.33E-06,0.001234014,3.97E-07
1.71E-06,0.001464567,5.12E-07
2.17E-06,0.001717149,6.47E-07
2.70E-06,0.001992397,8.04E-07
3.49E-06,0.002374467,1.04E-06
4.43E-06,0.002794214,1.31E-06
5.53E-06,0.003251913,1.63E-06
7.17E-06,0.003887064,2.10E-06
9.12E-06,0.004583413,2.66E-06
1.14E-05,0.005340881,3.30E-06
1.48E-05,0.006389973,4.26E-06
1.89E-05,0.00753708,5.39E-06
2.37E-05,0.008781957,6.69E-06
2.92E-05,0.01012436,8.20E-06
3.55E-05,0.011564044,9.91E-06
4.27E-05,0.013100764,1.18E-05
5.08E-05,0.014734277,1.40E-05
6.21E-05,0.016855522,1.70E-05
7.49E-05,0.019119722,2.04E-05
8.94E-05,0.021526435,2.42E-05
0.00010559,0.024075223,2.84E-05
0.000128394,0.027442833,3.43E-05
0.000154276,0.031028696,4.10E-05
0.000183428,0.034831969,4.85E-05
0.000216044,0.03885181,5.68E-05
0.000261742,0.044152553,6.84E-05
0.00031346,0.04978542,8.15E-05
0.000371562,0.055748798,9.62E-05
0.000436412,0.062041081,0.000112429
0.00050837,0.068660664,0.000130417
0.000587796,0.075605947,0.000150202
0.000675049,0.082875331,0.000171865
0.000770483,0.090467224,0.000195485
0.000874454,0.098380033,0.000221143
0.00095225,0.104091781,0.000240297
0.001086935,0.113613603,0.000273374
0.001233649,0.123535004,0.000309302
0.001392884,0.133853745,0.000348191
0.001565131,0.144567594,0.000390147
0.001750877,0.155674326,0.000435278
0.001994281,0.16962903,0.00049426
0.002258991,0.184151268,0.000558227
0.002545856,0.199237134,0.000627362
0.002855714,0.214882737,0.000701846
0.003189402,0.231084199,0.000781857
0.003634191,0.251786907,0.000888219
0.004117884,0.273319007,0.001003551
0.004642003,0.295673345,0.001128174
0.005208055,0.318842795,0.001262402
0.005817536,0.342820263,0.001406545
0.00663293,0.37355386,0.001598827
0.007519665,0.405497184,0.00180728
0.007660263,0.410437822,0.001840274
0.007712503,0.412263487,0.001852529
0.007817447,0.415922205,0.001877143
0.008020756,0.422960978,0.001924803
0.008373959,0.435040302,0.00200753
0.0091095,0.45962727,0.002179523
0.010340923,0.499257682,0.002466668
0.011676032,0.540365659,0.002776965
0.013118599,0.582932674,0.00311115
0.014672347,0.626940323,0.00346994
0.016340953,0.672370331,0.003854034
0.01866886,0.733035756,0.004387955
0.021201543,0.795998598,0.004966525
0.023946551,0.861220561,0.005591115
0.025408222,0.894837487,0.005922733
0.025585152,0.898853196,0.005962826
0.025940595,0.906900132,0.006043351
0.02662659,0.922317026,0.006198656
0.028051244,0.95387531,0.006520754
0.031926644,1.036852701,0.007394076
0.03613083,1.122767282,0.008337167
0.041629068,1.229708889,0.00956433
0.047636655,1.340696907,0.010897881
0.054172269,1.455631093,0.012340756
0.058819023,1.534198247,0.01336204
0.058944128,1.536279809,0.013389485
0.059194678,1.540445226,0.013444444
0.060259611,1.558075765,0.013677925
0.062906285,1.601387619,0.014257387
0.071814872,1.742293446,0.016199645
0.081486823,1.887902874,0.018295244
0.094397352,2.072262255,0.021073042
0.108531405,2.263205654,0.024090906
0.111897728,2.307235559,0.024806407
0.112137954,2.310356385,0.024857416
0.112619056,2.316601232,0.024959559
0.114677898,2.343208194,0.025396391
0.119807476,2.408694532,0.026482778
0.13741119,2.625403878,0.030190309
0.156554288,2.848909179,0.034188705
0.182387658,3.133832007,0.039533953
0.188082077,3.194417605,0.040705113
0.188494454,3.19877415,0.040789821
0.189320333,3.207491382,0.040959442
0.192855384,3.244630973,0.041684887
0.201670833,3.336058196,0.043489797
0.228299123,3.602641375,0.048906255
0.256998035,3.875612833,0.054685513
0.29027383,4.176152998,0.061311862
0.2909382,4.181996103,0.061443381
0.292268797,4.193686519,0.061706729
0.295951998,4.225923861,0.06243508
0.301219103,4.271720524,0.06347508
0.309697278,4.344706927,0.065145274
0.326330455,4.485388544,0.0684085
0.367605345,4.821308263,0.076431647
0.420783866,5.230025205,0.086623316
0.421779785,5.237446599,0.086812718
0.423774446,5.252294342,0.087191954
0.43233307,5.31564092,0.088816751
0.453776532,5.471855224,0.092870638
0.517734188,5.918212185,0.104820498
0.581346257,6.336627732,0.116508197
0.581776039,6.339376264,0.116586523
0.582635976,6.344873681,0.116743224
0.586946844,6.372371223,0.117528243
0.598776279,6.447309297,0.119677883
0.625143476,6.611673866,0.124445366
0.686416963,6.980033434,0.135393994
0.737641203,7.274271015,0.144405809
0.773097764,7.470873902,0.150563768
0.77400706,7.475838959,0.150720774
0.775826859,7.485768036,0.151034901
0.784962064,7.535379542,0.152608886
0.803823804,7.636584611,0.155842961
0.843194012,7.84236423,0.162519038
0.88360479,8.045698832,0.169256261
0.925041044,8.245544727,0.176025177
