s,velocity,energy,time
0,0,0,0
1.40E-38,4.51E-33,0,3.16E-30
1.74E-38,9.92E-33,7.82E-44,6.93E-30
2.09E-38,1.53E-32,1.56E-43,1.07E-29
2.08E-15,3.27E-09,4.73E-20,2.28E-06
1.04E-14,9.81E-09,8.02E-19,6.85E-06
2.70E-14,1.63E-08,4.42E-18,1.14E-05
6.98E-14,2.66E-08,2.92E-17,1.86E-05
2.69E-13,5.24E-08,4.64E-16,3.68E-05
5.99E-13,7.82E-08,2.12E-15,5.49E-05
1.06E-12,1.04E-07,6.33E-15,7.31E-05
1.65E-12,1.30E-07,1.49E-14,9.13E-05
2.37E-12,1.56E-07,3.02E-14,0.00010944
3.22E-12,1.82E-07,5.47E-14,0.000127608
4.46E-12,2.15E-07,1.03E-13,0.000150003
5.90E-12,2.49E-07,1.76E-13,0.000172398
8.25E-12,2.97E-07,3.36E-13,0.000203486
1.10E-11,3.48E-07,5.82E-13,0.000234574
1.54E-11,4.21E-07,1.08E-12,0.000275377
2.06E-11,5.01E-07,1.83E-12,0.00031618
2.86E-11,6.15E-07,3.25E-12,0.000367417
3.83E-11,7.47E-07,5.33E-12,0.000418655
5.34E-11,9.43E-07,9.12E-12,0.000482978
7.23E-11,1.18E-06,1.45E-11,0.000547301
1.03E-10,1.54E-06,2.43E-11,0.000628615
1.43E-10,1.99E-06,3.79E-11,0.000709929
1.94E-10,2.53E-06,5.63E-11,0.000791243
2.74E-10,3.32E-06,8.60E-11,0.000889846
3.78E-10,4.27E-06,1.25E-10,0.000988448
5.43E-10,5.65E-06,1.88E-10,0.001108634
7.60E-10,7.30E-06,2.70E-10,0.001228821
1.12E-09,9.78E-06,4.04E-10,0.001380296
1.59E-09,1.27E-05,5.78E-10,0.001531771
2.43E-09,1.73E-05,8.80E-10,0.001732455
3.55E-09,2.27E-05,1.27E-09,0.001933139
5.70E-09,3.18E-05,2.01E-09,0.002217411
8.64E-09,4.26E-05,3.00E-09,0.002501682
1.52E-08,6.28E-05,5.12E-09,0.00294693
2.76E-08,9.43E-05,9.04E-09,0.003515903
5.61E-08,0.000151951,1.78E-08,0.004350201
9.95E-08,0.000222628,3.10E-08,0.005184498
1.61E-07,0.000305918,4.93E-08,0.006018795
2.43E-07,0.000401492,7.37E-08,0.006853093
3.48E-07,0.00050917,1.05E-07,0.00768739
4.80E-07,0.000628937,1.44E-07,0.008521688
6.41E-07,0.000760952,1.92E-07,0.009355985
8.34E-07,0.000905519,2.50E-07,0.010190282
1.06E-06,0.00106305,3.18E-07,0.01102458
1.33E-06,0.001234014,3.97E-07,0.011858877
1.71E-06,0.001464567,5.12E-07,0.012889881
2.17E-06,0.001717149,6.47E-07,0.013920885
2.70E-06,0.001992397,8.04E-07,0.014951889
3.49E-06,0.002374467,1.04E-06,0.016258386
4.43E-06,0.002794214,1.31E-06,0.017564883
5.53E-06,0.003251913,1.63E-06,0.018871381
7.17E-06,0.003887064,2.10E-06,0.020528187
9.12E-06,0.004583413,2.66E-06,0.022184993
1.14E-05,0.005340881,3.30E-06,0.0238418
1.48E-05,0.006389973,4.26E-06,0.025944393
1.89E-05,0.00753708,5.39E-06,0.028046986
2.37E-05,0.008781957,6.69E-06,0.030149579
2.92E-05,0.01012436,8.20E-06,0.032252172
3.55E-05,0.011564044,9.91E-06,0.034354765
4.27E-05,0.013100764,1.18E-05,0.036457359
5.08E-05,0.014734277,1.40E-05,0.038559952
6.21E-05,0.016855522,1.70E-05,0.041122369
7.49E-05,0.019119722,2.04E-05,0.043684785
8.94E-05,0.021526435,2.42E-05,0.046247202
0.00010559,0.024075223,2.84E-05,0.048809619
0.000128394,0.027442833,3.43E-05,0.051996627
0.000154276,0.031028696,4.10E-05,0.055183636
0.000183428,0.034831969,4.85E-05,0.058370644
0.000216044,0.03885181,5.68E-05,0.061557653
0.000261742,0.044152553,6.84E-05,0.065521637
