s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
0.0,0.242502441,0.134435569,-2.89e-05,12.128,10.899384140088568,-0.0001072913547513552,-0.006147341805493545
0.999860809,-0.24870963,1.00531578,-2.86e-05,12.125,10.899276863667396,-0.0001609394157656484,-0.009221149280672875
1.999721618,-0.739937706,1.876186962,-2.84e-05,12.121,10.899062306056894,-0.00026823204135910926,-0.015368563900055502
2.999582427,-1.231178171,2.747051155,-2.81e-05,12.117,10.898740474242786,-0.0003754958359117005,-0.02151432662247733
3.999443237,-1.722427414,3.617910396,-2.79e-05,12.111,10.898311418880686,-0.00048270196858069236,-0.02765678556233014
4.999304046,-2.213681818,4.488766726,-2.76e-05,12.104,10.897775204605711,-0.0005898338405922195,-0.033794989679926356
5.999164855,-2.70493777,5.359622183,-2.73e-05,12.097,10.897131915261841,-0.0006968742023505444,-0.039927950646231905
6.999025664,-3.196191657,6.230478805,-2.71e-05,12.09,10.896381649972659,-0.0008038078088868035,-0.046054794988872105
7.998886473,-3.687439863,7.101338632,-2.68e-05,12.097,10.89552452306351,-0.0009106174880747932,-0.05217453881749022
8.998747282,-4.178678774,7.972203702,-2.66e-05,12.104,10.894560667992693,-0.001017286072480882,-0.0582861985105941
9.998608092,-4.669904532,8.843076193,-2.63e-05,12.111,10.89349023340992,-0.0011237977434936496,-0.06438886772851159
10.9984689,-5.16111141,9.713959333,-2.61e-05,12.116,10.892313384404721,-0.0012301360759746228,-0.07048160538013028
11.99832971,-5.652292818,10.58485684,-2.58e-05,12.12,10.891030302464895,-0.0013362846890041977,-0.0765634729078923
12.99819052,-6.143442163,11.45577242,-2.55e-05,12.123,10.8896411854311,-0.001442227252503306,-0.08263353466718792
13.99805133,-6.634552859,12.32670981,-2.53e-05,12.125,10.88814624744748,-0.0015479474839462338,-0.08869085773801395
14.99791214,-7.125620122,13.19767168,-2.5e-05,12.126,10.886545718908437,-0.0016534291572716285,-0.09473451243553674
