s,x,y,kappa,altitude (m),altitude_smooth,gradient_rad,gradient_deg
0.0,3.98442026,2.208834694,-5.91e-07,11.906,10.687425015927959,-0.00010193300036184051,-0.0058403307138389544
0.99986289,3.499632233,3.083309604,-2.64e-07,11.905,10.687323096903278,-0.0001528923560719894,-0.008760086722736378
1.999725781,3.014841844,3.957783205,6.35e-08,11.904,10.687119273139421,-0.0002547948511927613,-0.014598669615009073
2.999588671,2.530049314,4.832255618,3.91e-07,11.901,10.686813577059455,-0.00035663591281895037,-0.02043373262732143
3.999451562,2.045254862,5.706726967,7.18e-07,11.898,10.68640609907989,-0.0004583873386005888,-0.026263659884047944
4.999314452,1.56045871,6.581197373,1.05e-06,11.894,10.68589692801657,-0.0005600568553047163,-0.03208889409632928
5.999177343,1.075661078,7.455666958,1.37e-06,11.888,10.685286138830415,-0.0006616429086300356,-0.037909346209260994
6.999040233,0.590862186,8.330135845,1.7e-06,11.882,10.684573823441294,-0.0007631305282568697,-0.043724158486707645
7.998903124,0.106062255,9.204604156,2.03e-06,11.873,10.68376008674255,-0.0008645041274182723,-0.049532437872706954
8.998766014,-0.378738495,10.07907201,2.35e-06,11.862,10.682845051819239,-0.0009657487923421342,-0.05533332987106045
9.998628905,-0.863539878,10.95353952,2.68e-06,11.852,10.681828853384133,-0.0010668489979089588,-0.06112594495794453
10.9984918,-1.348341983,11.82800662,3.01e-06,11.841,10.680711645558961,-0.0011677873096694097,-0.06690928421299408
11.99835469,-1.833145021,12.70247321,3.34e-06,11.83,10.67949359792804,-0.0012685495927894615,-0.07268253776987535
12.99821758,-2.317949207,13.57693916,3.66e-06,11.819,10.678174892874322,-0.0013691211075669077,-0.0784448611058606
13.99808047,-2.802754752,14.45140436,3.99e-06,11.808,10.676755729442592,-0.0014694851887649659,-0.08419529937321764
14.99794336,-3.287561917,15.32586866,4.32e-06,11.801,10.675236323343851,-0.0015696271723805897,-0.08993301238646113
15.99780625,-3.772371062,16.20033187,4.64e-06,11.804,10.673616902943253,-0.0016695324737180564,-0.09565716450408067
16.99766914,-4.257182565,17.07479376,4.97e-06,11.805,10.671897713113664,-0.0017691792294213258,-0.10136650304804917
17.99753203,-4.741996804,17.94925414,5.3e-06,11.805,10.670079025937559,-0.001868538670879292,-0.10705937969836782
18.99739492,-5.226814168,18.82371279,5.63e-06,11.804,10.668161143813913,-0.001967600946165785,-0.11273522998124698
19.99725781,-5.711635242,19.69816937,5.95e-06,11.803,10.66614435852313,-0.0020663625073650085,-0.11839385061608547
20.9971207,-6.196460771,20.57262349,6.29e-06,11.8,10.664028979555862,-0.0021648076274784368,-0.12403434051224337
21.99698359,-6.681291505,21.44707473,6.63e-06,11.796,10.661815330139211,-0.0022629219579479026,-0.12965587755789557
22.99684648,-7.166128193,22.32152266,6.95e-06,11.791,10.659503748454132,-0.0023606912200485994,-0.13525764364237386
23.99670937,-7.65097159,23.19596687,7.27e-06,11.786,10.657094586278504,-0.002458100565542712,-0.14083878802431818
24.99657226,-8.135822483,24.07040693,7.55e-06,11.779,10.654588211483064,-0.002555133936309693,-0.1463983906411943
25.99643515,-8.620681664,24.94484239,7.8e-06,11.771,10.651985007955057,-0.002651776637024903,-0.1519356095129218
