s,x,y,kappa,altitude (m)
0,0.242502441,0.134435569,-2.89E-05,12.128
0.999860809,-0.24870963,1.00531578,-2.86E-05,12.125
1.999721618,-0.739937706,1.876186962,-2.84E-05,12.121
2.999582427,-1.231178171,2.747051155,-2.81E-05,12.117
3.999443237,-1.722427414,3.617910396,-2.79E-05,12.111
4.999304046,-2.213681818,4.488766726,-2.76E-05,12.104
5.999164855,-2.70493777,5.359622183,-2.73E-05,12.097
6.999025664,-3.196191657,6.230478805,-2.71E-05,12.09
7.998886473,-3.687439863,7.101338632,-2.68E-05,12.097
8.998747282,-4.178678774,7.972203702,-2.66E-05,12.104
9.998608092,-4.669904532,8.843076193,-2.63E-05,12.111
10.9984689,-5.16111141,9.713959333,-2.61E-05,12.116
11.99832971,-5.652292818,10.58485684,-2.58E-05,12.12
12.99819052,-6.143442163,11.45577242,-2.55E-05,12.123
13.99805133,-6.634552859,12.32670981,-2.53E-05,12.125
14.99791214,-7.125620122,13.19767168,-2.50E-05,12.126
15.99777295,-7.616643369,14.06865837,-2.48E-05,12.127
16.99763376,-8.107622613,14.93966987,-2.45E-05,12.126
17.99749456,-8.598557867,15.81070615,-2.43E-05,12.124
18.99735537,-9.089449418,16.68176707,-2.40E-05,12.121
19.99721618,-9.580301983,17.55284996,-2.37E-05,12.117
20.99707699,-10.07112388,18.42395013,-2.35E-05,12.112
21.9969378,-10.56192352,19.29506284,-2.32E-05,12.106
22.99679861,-11.05270933,20.16618334,-2.30E-05,12.099
23.99665942,-11.54348887,21.03730738,-2.28E-05,12.091
24.99652023,-12.03426595,21.90843279,-2.26E-05,12.082
25.99638104,-12.52504342,22.77955799,-2.24E-05,12.072
26.99624185,-13.01582408,23.6506814,-2.22E-05,12.061
27.99610266,-13.50661069,24.52180144,-2.20E-05,12.049
28.99596347,-13.99740294,25.39291832,-2.17E-05,12.036
29.99582427,-14.48819616,26.26403464,-2.15E-05,12.023
30.99568508,-14.97898537,27.13515323,-2.12E-05,12.008
31.99554589,-15.4697656,28.00627687,-2.09E-05,11.992
32.9954067,-15.9605318,28.87740842,-2.07E-05,11.975
33.99526751,-16.45127857,29.74855092,-2.06E-05,11.957
34.99512832,-16.94200029,30.61970753,-2.06E-05,11.938
35.99498913,-17.43269134,31.49088141,-2.07E-05,11.919
36.99484994,-17.92334612,32.36207571,-2.10E-05,11.898
37.99471075,-18.41396129,33.23329233,-2.14E-05,11.876
38.99457156,-18.9045392,34.10452993,-2.20E-05,11.853
39.99443237,-19.39508305,34.97578671,-2.28E-05,11.829
40.99429318,-19.88559607,35.84706084,-2.37E-05,11.805
41.99415398,-20.37608153,36.71835049,-2.48E-05,11.779
42.99401479,-20.86654374,37.58965323,-2.61E-05,11.752
43.9938756,-21.3569879,38.46096613,-2.75E-05,11.724
44.99373641,-21.84741924,39.33228624,-2.90E-05,11.696
45.99359722,-22.33784301,40.20361061,-3.06E-05,11.662
46.99345803,-22.8282635,41.07493683,-3.24E-05,11.623
47.99331884,-23.31868077,41.94626487,-3.43E-05,11.584
48.99317965,-23.80909359,42.8175954,-3.62E-05,11.545
49.99304046,-24.29950076,43.68892911,-3.83E-05,11.507
50.99290127,-24.78990103,44.56026672,-4.04E-05,11.468
51.99276208,-25.28029044,45.43161043,-4.27E-05,11.429
52.99262289,-25.77066098,46.30296476,-4.52E-05,11.39
53.99248369,-26.2610043,47.17433441,-4.77E-05,11.351
54.9923445,-26.75131206,48.04572407,-5.04E-05,11.313
55.99220531,-27.24157619,48.91713828,-5.33E-05,11.274
56.99206612,-27.73179111,49.78858018,-5.63E-05,11.235
57.99192693,-28.22195258,50.66005214,-5.94E-05,11.196
58.99178774,-28.71205634,51.53155655,-6.27E-05,11.157
59.99164855,-29.20209817,52.4030958,-6.61E-05,11.119
60.99150936,-29.69207446,53.27467189,-6.96E-05,11.08
61.99137017,-30.18198335,54.14628587,-7.32E-05,11.041
62.99123098,-30.67182326,55.01793862,-7.69E-05,11.002
63.99109179,-31.16159261,55.88963101,-8.06E-05,10.961
64.99095259,-31.65128985,56.76136392,-8.43E-05,10.912
65.9908134,-32.14091391,57.63313793,-8.80E-05,10.863
66.99067421,-32.63046418,58.50495338,-9.16E-05,10.812
67.99053502,-33.11994006,59.3768106,-9.52E-05,10.761
68.99039583,-33.60934096,60.24870991,-9.87E-05,10.708
69.99025664,-34.0986653,61.1206522,-0.000102089,10.655
70.99011745,-34.58790656,61.99264111,-0.000105422,10.6
71.98997826,-35.07705666,62.86468115,-0.000108673,10.545
72.98983907,-35.56610753,63.73677684,-0.000111848,10.488
73.98969988,-36.05505111,64.60893269,-0.000114954,10.43
74.98956069,-36.54388155,65.48115197,-0.000118002,10.372
75.9894215,-37.03259646,66.35343598,-0.000121003,10.312
76.9892823,-37.52119381,67.22578586,-0.000123966,10.252
77.98914311,-38.00967153,68.09820273,-0.000126901,10.19
78.98900392,-38.49802763,68.97068768,-0.000129811,10.128
79.98886473,-38.98626067,69.8432415,-0.000132697,10.064
80.98872554,-39.47436955,70.71586479,-0.000135555,10
81.98858635,-39.96235314,71.58855814,-0.000138377,9.981
82.98844716,-40.45021033,72.46132216,-0.000141155,9.963
83.98830797,-40.93794098,73.33415689,-0.000143875,9.945
84.98816878,-41.42554777,74.20706083,-0.000146527,9.929
85.98802959,-41.91303387,75.08003217,-0.0001491,9.914
86.9878904,-42.40040246,75.95306913,-0.000151582,9.9
87.98775121,-42.88765652,76.82617002,-0.000153967,9.886
88.98761201,-43.37479421,77.69933584,-0.000156246,9.874
89.98747282,-43.861809,78.57257022,-0.000158417,9.863
90.98733363,-44.34869411,79.4458769,-0.000160477,9.852
91.98719444,-44.83544279,80.31925963,-0.000162429,9.843
92.98705525,-45.32204849,81.19272203,-0.00016428,9.835
93.98691606,-45.8085058,82.06626709,-0.000166039,9.827
94.98677687,-46.2948097,82.93989757,-0.000167715,9.821
95.98663768,-46.78095515,83.81361623,-0.000169319,9.815
96.98649849,-47.26693715,84.68742582,-0.00017086,9.811
97.9863593,-47.75275178,85.56132847,-0.000172341,9.807
