s,x,y,kappa,altitude(m)
0,3.98442026,2.208834694,-5.91E-07,11.906
0.99986289,3.499632233,3.083309604,-2.64E-07,11.905
1.999725781,3.014841844,3.957783205,6.35E-08,11.904
2.999588671,2.530049314,4.832255618,3.91E-07,11.901
3.999451562,2.045254862,5.706726967,7.18E-07,11.898
4.999314452,1.56045871,6.581197373,1.05E-06,11.894
5.999177343,1.075661078,7.455666958,1.37E-06,11.888
6.999040233,0.590862186,8.330135845,1.70E-06,11.882
7.998903124,0.106062255,9.204604156,2.03E-06,11.873
8.998766014,-0.378738495,10.07907201,2.35E-06,11.862
9.998628905,-0.863539878,10.95353952,2.68E-06,11.852
10.9984918,-1.348341983,11.82800662,3.01E-06,11.841
11.99835469,-1.833145021,12.70247321,3.34E-06,11.83
12.99821758,-2.317949207,13.57693916,3.66E-06,11.819
13.99808047,-2.802754752,14.45140436,3.99E-06,11.808
14.99794336,-3.287561917,15.32586866,4.32E-06,11.801
15.99780625,-3.772371062,16.20033187,4.64E-06,11.804
16.99766914,-4.257182565,17.07479376,4.97E-06,11.805
17.99753203,-4.741996804,17.94925414,5.30E-06,11.805
18.99739492,-5.226814168,18.82371279,5.63E-06,11.804
19.99725781,-5.711635242,19.69816937,5.95E-06,11.803
20.9971207,-6.196460771,20.57262349,6.29E-06,11.8
21.99698359,-6.681291505,21.44707473,6.63E-06,11.796
22.99684648,-7.166128193,22.32152266,6.95E-06,11.791
23.99670937,-7.65097159,23.19596687,7.27E-06,11.786
24.99657226,-8.135822483,24.07040693,7.55E-06,11.779
25.99643515,-8.620681664,24.94484239,7.80E-06,11.771
26.99629804,-9.105549928,25.81927281,8.01E-06,11.763
27.99616093,-9.590428062,26.69369776,8.16E-06,11.753
28.99602382,-10.07531659,27.56811695,8.27E-06,11.743
29.99588671,-10.56021567,28.44253029,8.33E-06,11.731
30.9957496,-11.04512542,29.31693771,8.34E-06,11.719
31.9956125,-11.53004597,30.19133913,8.31E-06,11.705
32.99547539,-12.01497745,31.0657345,8.23E-06,11.69
33.99533828,-12.49991993,31.94012377,8.11E-06,11.675
34.99520117,-12.98487347,32.81450691,7.93E-06,11.659
35.99506406,-13.46983812,33.68888388,7.72E-06,11.641
36.99492695,-13.95481394,34.56325465,7.45E-06,11.623
37.99478984,-14.43980065,35.43761939,7.15E-06,11.603
38.99465273,-14.92479715,36.31197869,6.82E-06,11.583
39.99451562,-15.40980221,37.18633325,6.45E-06,11.561
40.99437851,-15.8948146,38.06068374,6.07E-06,11.539
41.9942414,-16.37983311,38.93503084,5.66E-06,11.516
42.99410429,-16.8648569,39.809375,5.25E-06,11.491
43.99396718,-17.34988546,40.68371652,4.83E-06,11.452
44.99383007,-17.83491829,41.55805568,4.41E-06,11.413
45.99369296,-18.31995488,42.43239274,4.00E-06,11.374
46.99355585,-18.8049946,43.30672807,3.61E-06,11.334
47.99341874,-19.29003624,44.18106234,3.23E-06,11.295
48.99328163,-19.77507839,45.05539632,2.88E-06,11.256
49.99314452,-20.26011967,45.92973079,2.56E-06,11.217
50.99300741,-20.74515869,46.80406651,2.28E-06,11.178
51.99287031,-21.23019474,47.67840387,2.04E-06,11.139
52.9927332,-21.71522812,48.55274272,1.84E-06,11.099
53.99259609,-22.20025919,49.42708285,1.68E-06,11.06
54.99245898,-22.68528833,50.30142405,1.56E-06,11.021
55.99232187,-23.17031588,51.17576613,1.49E-06,10.982
56.99218476,-23.65534175,52.05010914,1.46E-06,10.943
57.99204765,-24.14036566,52.92445324,1.46E-06,10.903
58.99191054,-24.62538731,53.7987986,1.51E-06,10.864
59.99177343,-25.11040642,54.67314536,1.59E-06,10.825
60.99163632,-25.5954231,55.54749347,1.70E-06,10.786
61.99149921,-26.08043854,56.42184227,1.83E-06,10.747
62.9913621,-26.56545411,57.296191,1.98E-06,10.708
63.99122499,-27.05047117,58.1705389,2.14E-06,10.668
64.99108788,-27.53549108,59.04488522,2.31E-06,10.629
65.99095077,-28.0205145,59.91922959,2.48E-06,10.59
66.99081366,-28.5055415,60.79357198,2.64E-06,10.551
67.99067655,-28.99057214,61.66791235,2.80E-06,10.512
68.99053944,-29.47560644,62.54225068,2.94E-06,10.473
69.99040233,-29.96064459,63.41658688,3.06E-06,10.433
70.99026522,-30.44568735,64.29092053,3.16E-06,10.394
71.99012811,-30.93073566,65.16525109,3.22E-06,10.355
72.98999101,-31.41579048,66.03957805,3.26E-06,10.304
73.9898539,-31.90085274,66.91390087,3.26E-06,10.25
74.98971679,-32.3859227,67.78821943,3.22E-06,10.194
75.98957968,-32.87099948,68.6625342,3.15E-06,10.137
76.98944257,-33.35608211,69.53684572,3.04E-06,10.079
77.98930546,-33.84116962,70.41115454,2.90E-06,10.021
78.98916835,-34.32626111,71.28546114,2.72E-06,9.984
79.98903124,-34.81135639,72.15976565,2.51E-06,9.96
80.98889413,-35.29645563,73.03406796,2.28E-06,9.936
81.98875702,-35.78155905,73.90836795,2.02E-06,9.914
82.98861991,-36.26666682,74.78266553,1.73E-06,9.893
83.9884828,-36.75177872,75.65696081,1.42E-06,9.873
84.98834569,-37.23689325,76.53125464,1.10E-06,9.854
85.98820858,-37.72200868,77.40554796,7.67E-07,9.835
86.98807147,-38.20712331,78.27984173,4.30E-07,9.818
87.98793436,-38.69223547,79.15413687,9.32E-08,9.802
88.98779725,-39.17734464,80.02843367,-2.39E-07,9.787
89.98766014,-39.66245145,80.90273178,-5.63E-07,9.772
90.98752303,-40.14755656,81.77703083,-8.77E-07,9.759
91.98738592,-40.63266065,82.65133045,-1.18E-06,9.747
92.98724881,-41.11776412,83.52563041,-1.46E-06,9.735
93.98711171,-41.6028659,84.39993131,-1.73E-06,9.725
94.9869746,-42.08796445,85.274234,-1.98E-06,9.716
95.98683749,-42.57305823,86.14853934,-2.20E-06,9.707
96.98670038,-43.05814569,87.02284818,-2.39E-06,9.7
97.98656327,-43.5432264,87.89716077,-2.56E-06,9.693
98.98642616,-44.02830178,88.77147632,-2.69E-06,9.688
99.98628905,-44.51337343,89.64579394,-2.80E-06,9.683
100.9861519,-44.99844297,90.52011272,-2.89E-06,9.68
101.9860148,-45.48351184,91.39443188,-2.95E-06,9.677
102.9858777,-45.96857969,92.26875161,-2.98E-06,9.676
103.9857406,-46.45364509,93.14307269,-2.99E-06,9.675
104.9856035,-46.93870659,94.01739594,-2.97E-06,9.676
105.9854664,-47.42376274,94.89172216,-2.93E-06,9.677
106.9853293,-47.90881279,95.76605176,-2.87E-06,9.679
