s,x,y,kappa,heading,track_width_left,track_width_right,normal_x,normal_y
0.0,0.0,0.0,-3.2676400151530347e-17,2.0769868257840995,6.000000000000001,6.000000000000001,-0.8745978821065814,-0.48484899155786876
1.0,-0.4848489915578685,0.8745978821065816,-3.039419367138952e-17,2.0769868257840995,6.0,6.000000000000001,-0.8745978821065814,-0.4848489915578687
2.0,-0.969697983115737,1.7491957642131633,-2.8111987191248694e-17,2.0769868257840995,6.0,5.999999999999999,-0.8745978821065815,-0.48484899155786876
3.0,-1.4545469746736057,2.623793646319745,-2.582978071110786e-17,2.0769868257840995,6.0,6.0,-0.8745978821065815,-0.48484899155786865
4.0,-1.9393959662314741,3.498391528426327,-2.3547574230967034e-17,2.0769868257840995,6.0,6.0,-0.8745978821065815,-0.4848489915578686
5.0,-2.424244957789343,4.372989410532909,-2.1265367750826257e-17,2.0769868257840995,5.999999999999999,6.000000000000001,-0.8745978821065816,-0.4848489915578686
6.0,-2.909093949347211,5.24758729263949,-1.8983161270685424e-17,2.076986825784099,6.0,5.999999999999999,-0.8745978821065815,-0.4848489915578685
7.0,-3.393942940905079,6.122185174746071,-1.6700954790544592e-17,2.076986825784099,6.000000000000001,6.000000000000001,-0.8745978821065816,-0.4848489915578685
8.0,-3.8787919324629483,6.996783056852653,-1.4418748310403756e-17,2.076986825784099,6.0,5.999999999999999,-0.8745978821065815,-0.48484899155786837
9.0,-4.363640924020817,7.871380938959234,-1.2136541830262923e-17,2.076986825784099,6.000000000000002,6.0,-0.8745978821065815,-0.4848489915578684
10.0,-4.848489915578686,8.745978821065817,-9.854335350122088e-18,2.076986825784099,5.999999999999999,6.0,-0.8745978821065816,-0.4848489915578684
11.0,-5.333338907136555,9.6205767031724,-7.572128869981255e-18,2.076986825784099,5.9999999999999964,6.0,-0.8745978821065816,-0.4848489915578684
12.0,-5.818187898694421,10.49517458527898,-5.289922389840422e-18,2.076986825784099,6.000000000000002,6.0,-0.8745978821065816,-0.48484899155786837
13.0,-6.303036890252292,11.369772467385562,-3.0077159096995903e-18,2.076986825784099,6.000000000000002,6.0,-0.8745978821065816,-0.48484899155786837
14.0,-6.78788588181016,12.244370349492145,-7.255094295587586e-19,2.076986825784099,6.0,6.0,-0.8745978821065816,-0.48484899155786837
15.0,-7.272734873368027,13.118968231598723,1.5566970505820731e-18,2.0769868257840995,6.0,6.0,-0.8745978821065815,-0.4848489915578686
16.0,-7.757583864925897,13.993566113705308,3.838903530722903e-18,2.0769868257840995,5.999999999999999,5.999999999999997,-0.8745978821065815,-0.48484899155786865
17.0,-8.242432856483765,14.868163995811889,6.121110010863735e-18,2.076986825784099,6.000000000000001,6.000000000000001,-0.8745978821065815,-0.48484899155786854
18.0,-8.727281848041635,15.742761877918468,8.403316491004565e-18,2.076986825784099,6.0,6.000000000000002,-0.8745978821065814,-0.4848489915578685
19.0,-9.212130839599505,16.617359760025053,1.0685522971145394e-17,2.076986825784099,5.999999999999997,5.999999999999997,-0.8745978821065814,-0.4848489915578685
20.0,-9.696979831157371,17.491957642131634,1.554220069405043e-17,2.076986825784099,5.999999999999999,6.000000000000001,-0.8745978821065815,-0.48484899155786837
21.0,-10.18182882271524,18.366555524238212,1.4478647323906235e-17,2.076986825784099,6.0,6.000000000000001,-0.8745978821065816,-0.4848489915578685
22.0,-10.666677814273108,19.241153406344797,1.6258641338981568e-17,2.076986825784099,5.999999999999998,5.9999999999999964,-0.8745978821065815,-0.48484899155786837
23.0,-11.151526805830976,20.115751288451378,1.6172630146636415e-17,2.0769868257840995,5.999999999999998,5.999999999999998,-0.8745978821065815,-0.4848489915578686
24.0,-11.636375797388842,20.99034917055796,1.651318974259406e-17,2.076986825784099,6.000000000000002,6.0,-0.8745978821065815,-0.4848489915578685
25.0,-12.121224788946714,21.86494705266454,1.4238174491567415e-17,2.076986825784099,5.999999999999998,5.999999999999999,-0.8745978821065816,-0.48484899155786826
26.0,-12.606073780504582,22.739544934771118,1.1896611984496466e-17,2.076986825784099,5.999999999999999,6.0,-0.8745978821065814,-0.4848489915578684
27.0,-13.090922772062449,23.614142816877706,1.0005688232827241e-17,2.076986825784099,6.000000000000002,5.9999999999999964,-0.8745978821065815,-0.4848489915578685
28.0,-13.57577176362032,24.48874069898429,7.589919943291484e-18,2.076986825784099,6.000000000000002,6.0,-0.8745978821065815,-0.4848489915578685
29.0,-14.060620755178187,25.36333858109087,1.231364864639207e-17,2.076986825784099,6.000000000000007,5.999999999999998,-0.8745978821065817,-0.48484899155786837
30.0,-14.545469746736053,26.237936463197446,1.0773955842542545e-17,2.076986825784099,6.000000000000003,6.0,-0.8745978821065816,-0.48484899155786826
31.0,-15.030318738293921,27.112534345304027,5.936977571614383e-18,2.076986825784099,6.000000000000005,6.000000000000001,-0.8745978821065816,-0.4848489915578685
32.0,-15.515167729851793,27.987132227410612,5.515053806958806e-18,2.0769868257840995,6.000000000000001,6.000000000000002,-0.8745978821065815,-0.48484899155786854
33.0,-16.00001672140966,28.861730109517193,4.138984021698556e-18,2.076986825784099,6.0,6.000000000000001,-0.8745978821065815,-0.48484899155786854
34.0,-16.48486571296753,29.736327991623778,3.1786858849269656e-18,2.076986825784099,6.0000000000000036,5.999999999999999,-0.8745978821065816,-0.4848489915578685
35.0,-16.969714704525398,30.61092587373036,2.5078381560504634e-18,2.076986825784099,6.000000000000002,5.999999999999997,-0.8745978821065816,-0.48484899155786837
36.0,-17.45456369608327,31.485523755836937,6.0622693741124704e-18,2.076986825784099,6.0,5.999999999999998,-0.8745978821065815,-0.4848489915578684
37.0,-17.939412687641134,32.36012163794352,5.283562427775406e-18,2.076986825784099,5.999999999999999,5.999999999999998,-0.8745978821065815,-0.4848489915578685
38.0,-18.424261679199006,33.234719520050106,4.315455065895395e-18,2.076986825784099,5.9999999999999964,6.0,-0.8745978821065815,-0.48484899155786837
39.0,-18.90911067075687,34.109317402156684,1.0412883991993622e-17,2.0769868257840995,6.000000000000002,5.999999999999998,-0.8745978821065815,-0.4848489915578687
40.0,-19.393959662314742,34.98391528426327,4.980866799532412e-18,2.0769868257840995,6.0,5.999999999999998,-0.8745978821065815,-0.4848489915578686
41.0,-19.878808653872607,35.85851316636985,6.115346721868069e-18,2.0769868257840995,6.0,6.000000000000002,-0.8745978821065814,-0.4848489915578687
42.0,-20.36365764543048,36.733111048476424,9.442479538255348e-18,2.0769868257840995,6.000000000000001,6.000000000000001,-0.8745978821065815,-0.4848489915578686
43.0,-20.848506636988347,37.60770893058301,1.1149242205674684e-17,2.0769868257840995,6.0,5.999999999999995,-0.8745978821065815,-0.4848489915578686
44.0,-21.333355628546215,38.48230681268959,4.93250755975223e-18,2.0769868257840995,5.999999999999999,5.999999999999999,-0.8745978821065814,-0.4848489915578686
45.0,-21.818204620104083,39.35690469479617,4.031829908726887e-18,2.0769868257840995,6.0,6.0,-0.8745978821065815,-0.4848489915578687
