s,x,y,velocity,kappa,gradient_deg
0.0,3.98442026,2.208834694,5.47e-15,-5.91e-07,-0.0232597911663483
0.99986289,3.499632233,3.083309604,8.57705168471206,-2.64e-07,-0.0348981538932771
1.999725781,3.014841844,3.957783205,26.897861283410876,6.35e-08,-0.0581926662179976
2.999588671,2.530049314,4.832255618,14.201600871938814,3.91e-07,-0.0815330004245124
3.999451562,2.045254862,5.706726967,16.623226565895457,7.18e-07,-0.1049415310432195
4.999314452,1.56045871,6.581197373,26.95198879184563,1.05e-06,-0.1284452959451856
5.999177343,1.075661078,7.455666958,20.44822029278457,1.37e-06,-0.1520767359632714
6.999040233,0.590862186,8.330135845,25.32666370525436,1.7e-06,-0.1758742432752099
7.998903124,0.106062255,9.204604156,26.7250176840496,2.03e-06,-0.1998822187059802
8.998766014,-0.378738495,10.07907201,20.918187973664935,2.35e-06,-0.2241520578396766
9.998628905,-0.863539878,10.95353952,18.191485018787795,2.68e-06,-0.2487417996588406
10.9984918,-1.348341983,11.82800662,26.71399084717896,3.01e-06,-0.2737154971978052
11.99835469,-1.833145021,12.70247321,25.931852577422323,3.34e-06,-0.2991464333256065
12.99821758,-2.317949207,13.57693916,26.4511178156237,3.66e-06,-0.3251113765002371
13.99808047,-2.802754752,14.45140436,21.605378086556946,3.99e-06,-0.3516875696329978
14.99794336,-3.287561917,15.32586866,26.039801678574648,4.32e-06,-0.3789563756142516
15.99780625,-3.772371062,16.20033187,26.827977294312074,4.64e-06,-0.4070008380616661
16.99766914,-4.257182565,17.07479376,27.294478412024393,4.97e-06,-0.4359004193196425
17.99753203,-4.741996804,17.94925414,18.933626903719322,5.3e-06,-0.4657298779899905
18.99739492,-5.226814168,18.82371279,20.951897037130955,5.63e-06,-0.4965633905229067
19.99725781,-5.711635242,19.69816937,27.114418157906172,5.95e-06,-0.5284736122491948
20.9971207,-6.196460771,20.57262349,26.682368547423117,6.29e-06,-0.5615231715488397
21.99698359,-6.681291505,21.44707473,19.572502813134523,6.63e-06,-0.5957629167758363
22.99684648,-7.166128193,22.32152266,17.63140104377161,6.95e-06,-0.6312328914455296
23.99670937,-7.65097159,23.19596687,26.139174217092904,7.27e-06,-0.6679602583501904
24.99657226,-8.135822483,24.07040693,24.2191546790109,7.55e-06,-0.7059585075116165
25.99643515,-8.620681664,24.94484239,27.664403165704734,7.8e-06,-0.7452255578155514
26.99629804,-9.105549928,25.81927281,16.8202012325767,8.01e-06,-0.785744202083099
27.99616093,-9.590428062,26.69369776,25.268799077609927,8.16e-06,-0.8274809826351244
28.99602382,-10.07531659,27.56811695,26.030133914260116,8.27e-06,-0.8703857180883041
29.99588671,-10.56021567,28.44253029,24.350408590375086,8.33e-06,-0.914392144240764
30.9957496,-11.04512542,29.31693771,26.37051866913563,8.34e-06,-0.959417685925166
31.9956125,-11.53004597,30.19133913,26.320056164918263,8.31e-06,-1.005365090415813
32.99547539,-12.01497745,31.0657345,27.27789111858867,8.23e-06,-1.0521219377869977
33.99533828,-12.49991993,31.94012377,18.581008202106112,8.11e-06,-1.099562290064062
34.99520117,-12.98487347,32.81450691,18.535410688206813,7.93e-06,-1.1475489355782271
35.99506406,-13.46983812,33.68888388,25.922346864820575,7.72e-06,-1.1959326523627496
36.99492695,-13.95481394,34.56325465,22.753618845461567,7.45e-06,-1.2445559225981202
37.99478984,-14.43980065,35.43761939,16.397676118124004,7.15e-06,-1.2932536325240425
38.99465273,-14.92479715,36.31197869,24.932857734966515,6.82e-06,-1.341854386374179
39.99451562,-15.40980221,37.18633325,22.46238862886861,6.45e-06,-1.3901826982076766
40.99437851,-15.8948146,38.06068374,16.869649086088913,6.07e-06,-1.4380610341440423
41.9942414,-16.37983311,38.93503084,26.33291265704077,5.66e-06,-1.485310914094301
42.99410429,-16.8648569,39.809375,24.671353862655007,5.25e-06,-1.531754028789851
43.99396718,-17.34988546,40.68371652,18.24491702456617,4.83e-06,-1.577214098122055
44.99383007,-17.83491829,41.55805568,20.921862116522156,4.41e-06,-1.6215204112248598
45.99369296,-18.31995488,42.43239274,27.317370039217902,4e-06,-1.6645052326987178
46.99355585,-18.8049946,43.30672807,25.950428345856885,3.61e-06,-1.7060019245178992
47.99341874,-19.29003624,44.18106234,18.075082328779526,3.23e-06,-1.745852026797301
48.99328163,-19.77507839,45.05539632,25.451124997689046,2.88e-06,-1.783904116827726
49.99314452,-20.26011967,45.92973079,22.88755453209221,2.56e-06,-1.8200131235980703
50.99300741,-20.74515869,46.80406651,15.738743639798992,2.28e-06,-1.8540413892196304
51.99287031,-21.23019474,47.67840387,26.57862652167372,2.04e-06,-1.885857185566908
52.9927332,-21.71522812,48.55274272,20.619898002094764,1.84e-06,-1.915333887977061
53.99259609,-22.20025919,49.42708285,15.456320322431651,1.68e-06,-1.94235116048262
54.99245898,-22.68528833,50.30142405,25.928193384773074,1.56e-06,-1.9667985435613355
55.99232187,-23.17031588,51.17576613,26.31816697114678,1.49e-06,-1.9885724658123636
56.99218476,-23.65534175,52.05010914,25.95081962408523,1.46e-06,-2.0075739597831683
57.99204765,-24.14036566,52.92445324,26.54344608122437,1.46e-06,-2.023709419323638
58.99191054,-24.62538731,53.7987986,23.270592199612828,1.51e-06,-2.0368915666692065
59.99177343,-25.11040642,54.67314536,17.249412398630575,1.59e-06,-2.0470395283037983
60.99163632,-25.5954231,55.54749347,22.00311630978107,1.7e-06,-2.0540782126601997
61.99149921,-26.08043854,56.42184227,22.050524182475574,1.83e-06,-2.0579405411194305
62.9913621,-26.56545411,57.296191,16.103027945963227,1.98e-06,-2.058565780220086
63.99122499,-27.05047117,58.1705389,26.05181941488834,2.14e-06,-2.0559014739665646
64.99108788,-27.53549108,59.04488522,26.374911703938132,2.31e-06,-2.049904918586176
65.99095077,-28.0205145,59.91922959,24.764406111273598,2.48e-06,-2.0405418909656583
66.99081366,-28.5055415,60.79357198,21.748959238441117,2.64e-06,-2.0277894798422933
67.99067655,-28.99057214,61.66791235,20.553150996760237,2.8e-06,-2.011636659107657
68.99053944,-29.47560644,62.54225068,15.17842108957399,2.94e-06,-1.9920837074737767
69.99040233,-29.96064459,63.41658688,23.11191269322603,3.06e-06,-1.9691444116411188
70.99026522,-30.44568735,64.29092053,16.73645478295702,3.16e-06,-1.9428475038260973
71.99012811,-30.93073566,65.16525109,19.302447963312964,3.22e-06,-1.9132373888814085
72.98999101,-31.41579048,66.03957805,22.88965899542109,3.26e-06,-1.8803733547684165
73.9898539,-31.90085274,66.91390087,26.4262629091375,3.26e-06,-1.8443293088016992
74.98971679,-32.3859227,67.78821943,22.932441071811105,3.22e-06,-1.8051961507172567
75.98957968,-32.87099948,68.6625342,16.83985411202987,3.15e-06,-1.7630809585478748
76.98944257,-33.35608211,69.53684572,25.919889671067367,3.04e-06,-1.718102119243909
77.98930546,-33.84116962,70.41115454,21.400555318554353,2.9e-06,-1.6703918312156838
78.98916835,-34.32626111,71.28546114,17.500801683287303,2.72e-06,-1.6200976177749984
79.98903124,-34.81135639,72.15976565,25.32997044158587,2.51e-06,-1.5673793929351991
80.98889413,-35.29645563,73.03406796,16.547363714881357,2.28e-06,-1.5124068471364207
81.98875702,-35.78155905,73.90836795,25.046788667296024,2.02e-06,-1.4553585619551794
82.98861991,-36.26666682,74.78266553,20.054649459984134,1.73e-06,-1.396420945113939
83.9884828,-36.75177872,75.65696081,19.249165845336847,1.42e-06,-1.3357850165665557
84.98834569,-37.23689325,76.53125464,25.501597161383334,1.1e-06,-1.2736455490585958
85.98820858,-37.72200868,77.40554796,15.607036199689363,7.67e-07,-1.2101992044423049
86.98807147,-38.20712331,78.27984173,21.052355768221965,4.3e-07,-1.1456426355506342
87.98793436,-38.69223547,79.15413687,26.544587634647417,9.32e-08,-1.0801708719012235
88.98779725,-39.17734464,80.02843367,18.094228881048057,-2.39e-07,-1.01397852133789
89.98766014,-39.66245145,80.90273178,25.77833501868237,-5.63e-07,-0.9472540744285652
90.98752303,-40.14755656,81.77703083,26.51383186721337,-8.77e-07,-0.880179008936418
91.98738592,-40.63266065,82.65133045,23.716240751367913,-1.18e-06,-0.8129297293339994
92.98724881,-41.11776412,83.52563041,15.021331877818143,-1.46e-06,-0.7456757866061187
93.98711171,-41.6028659,84.39993131,26.11891633785752,-1.73e-06,-0.6785800892155878
94.9869746,-42.08796445,85.274234,16.996770468891683,-1.98e-06,-0.6117972654576956
95.98683749,-42.57305823,86.14853934,20.608956391396113,-2.2e-06,-0.5454746788555626
96.98670038,-43.05814569,87.02284818,21.134500660053504,-2.39e-06,-0.4797522972647352
97.98656327,-43.5432264,87.89716077,24.43769653097752,-2.56e-06,-0.4147628022417647
98.98642616,-44.02830178,88.77147632,25.288735984124653,-2.69e-06,-0.3506319904809999
99.98628905,-44.51337343,89.64579394,17.956594915969585,-2.8e-06,-0.287478926517792
100.9861519,-44.99844297,90.52011272,21.206782914894738,-2.89e-06,-0.225417296951307
101.9860148,-45.48351184,91.39443188,24.42791562980523,-2.95e-06,-0.1645547568212845
102.9858777,-45.96857969,92.26875161,23.66855767348669,-2.98e-06,-0.1049930656944701
103.9857406,-46.45364509,93.14307269,16.058153198346048,-2.99e-06,-0.0468275113225631
104.9856035,-46.93870659,94.01739594,23.173878192604366,-2.97e-06,0.0098475879759005
105.9854664,-47.42376274,94.89172216,24.565180060209546,-2.93e-06,0.0649405952776946
106.9853293,-47.90881279,95.76605176,21.873656959051186,-2.87e-06,0.1183678329144717
107.9851922,-48.39385809,96.64038399,16.1023091418766,-2.78e-06,0.1700488518041093
108.9850551,-48.87890042,97.51471787,20.031277518086945,-2.67e-06,0.2199076084129004
109.984918,-49.36394154,98.38905242,15.071637571087413,-2.55e-06,0.2678725160725587
110.9847808,-49.84898318,99.26338669,23.248966258226645,-2.42e-06,0.3138765510991848
111.9846437,-50.33402549,100.1377206,14.716091995945227,-2.27e-06,0.3578573712243908
112.9845066,-50.81906703,101.0120549,25.178372983206,-2.12e-06,0.3997572317233752
113.9843695,-51.30410629,101.8863905,15.059639336561592,-1.95e-06,0.439523074763846
114.9842324,-51.78914173,102.7607282,24.796963241270145,-1.77e-06,0.4771070400338847
115.9840953,-52.27417219,103.6350687,15.54383013947214,-1.59e-06,0.5124669216876456
116.9839582,-52.75919857,104.5094114,24.62576443050097,-1.39e-06,0.5455655076762979
117.9838211,-53.24422254,105.3837555,21.523118163810246,-1.2e-06,0.5763709831217392
118.983684,-53.72924573,106.2581,19.113754605725276,-1.01e-06,0.6048561675379277
119.9835469,-54.21426981,107.132444,16.631211375049354,-8.17e-07,0.6309988279706248
120.9834097,-54.69929547,108.0067871,21.224965090161337,-6.34e-07,0.6547816395079495
121.9832726,-55.18432173,108.8811299,24.5639797218609,-4.58e-07,0.6761912855344344
122.9831355,-55.66934739,109.755473,25.16845179866461,-2.91e-07,0.695218307241533
123.9829984,-56.15437128,110.6298171,24.63246425131553,-1.33e-07,0.711852583179739
124.9828613,-56.63939235,111.5041628,17.510831770835836,1.42e-08,0.7260859727433431
125.9827242,-57.12441122,112.3785097,25.193493663649647,1.48e-07,0.7379193526143194
126.9825871,-57.60942956,113.2528569,15.56754253709404,2.66e-07,0.7473584487963724
127.98245,-58.09444907,114.1272034,25.340887445477517,3.65e-07,0.7544066041095894
128.9823129,-58.57947145,115.0015484,14.054526520274353,4.4e-07,0.7590643486520884
129.9821758,-59.06449783,115.8758911,21.929700645385154,4.9e-07,0.7613342777026502
130.9820387,-59.54952755,116.750232,25.362099145237867,5.14e-07,0.7612203709043779
131.9819015,-60.03455954,117.6245716,16.738694028828522,5.12e-07,0.758726587377272
132.9817644,-60.51959274,118.4989106,25.480531623783932,4.85e-07,0.7538604382125048
133.9816273,-61.00462612,119.3732494,15.98061883191886,4.33e-07,0.746627571074637
134.9814902,-61.48965971,120.2475881,25.087312837318727,3.58e-07,0.737031837443352
135.9813531,-61.97469468,121.1219261,25.681795590751438,2.58e-07,0.725080225243763
136.981216,-62.45973228,121.9962626,24.689577328687598,1.32e-07,0.7107820305000875
137.9810789,-62.94477376,122.870597,25.468950074943805,-1.91e-08,0.6941486684409153
138.9809418,-63.42982007,123.7449286,24.48323759614297,-1.95e-07,0.6751893014111388
139.9808047,-63.91487025,124.6192582,24.858192107794014,-3.93e-07,0.6539194959944968
140.9806676,-64.39992264,125.4935865,24.882607635804195,-6.09e-07,0.6303651481364753
141.9805304,-64.88497556,126.3679145,25.194317841401766,-8.4e-07,0.6045524818251575
142.9803933,-65.37002735,127.2422431,24.227435001380883,-1.08e-06,0.5765099316396488
143.9802562,-65.85507705,128.1165729,25.30375803781519,-1.33e-06,0.546270556932916
144.9801191,-66.34012514,128.9909036,24.516376540727858,-1.58e-06,0.513872002855123
145.979982,-66.82517225,129.8652348,25.10027767396196,-1.83e-06,0.4793579514002439
146.9798449,-67.31021903,130.7395662,24.666112854564634,-2.08e-06,0.4427761687347732
147.9797078,-67.795266,131.6138975,25.16531945737842,-2.32e-06,0.4041795084432297
148.9795707,-68.28031232,132.4882292,25.017830913709332,-2.55e-06,0.363626626788092
149.9794336,-68.76535617,133.3625623,23.801211288824078,-2.77e-06,0.3211808706512888
150.9792965,-69.25039575,134.2368977,25.196385016948224,-2.96e-06,0.2769090959073875
151.9791594,-69.73542921,135.1112365,23.72364327800313,-3.14e-06,0.2308821890790242
152.9790222,-70.22045527,135.9855794,25.232022020094618,-3.28e-06,0.1831759470872238
153.9788851,-70.70547444,136.8599261,23.72236028735954,-3.4e-06,0.1338680948346832
154.978748,-71.19048768,137.7342761,24.807473452730854,-3.5e-06,0.0830391875456059
155.9786109,-71.67549591,138.6086289,23.55431519694153,-3.57e-06,0.030773533507446
156.9784738,-72.16050005,139.482984,23.90776696348541,-3.61e-06,-0.0228437345277297
157.9783367,-72.64550021,140.3573413,24.87176465415534,-3.61e-06,-0.0777254021572007
158.9781996,-73.13049549,141.2317012,24.311166522656155,-3.55e-06,-0.1337810862741444
159.9780625,-73.61548496,142.1060645,24.586889244456458,-3.45e-06,-0.1909176482316957
160.9779254,-74.10046765,142.9804314,24.002227781663514,-3.3e-06,-0.2490429511332378
161.9777883,-74.58544288,143.8548025,24.061225575012624,-3.14e-06,-0.3080640484687034
162.9776511,-75.07041155,144.7291773,24.349671920156506,-3e-06,-0.3678846796268296
163.977514,-75.55537529,145.6035547,23.94629919201994,-2.9e-06,-0.4284064705601385
164.9773769,-76.04033568,146.4779341,24.674960002841626,-2.85e-06,-0.489528177549679
165.9772398,-76.52529433,147.3523144,23.909030742348886,-2.77e-06,-0.5511458937171311
166.9771027,-77.0102522,148.2266951,23.918455190856847,-2.57e-06,-0.613152156156263
167.9769656,-77.49520889,149.1010765,23.890926593359662,-2.13e-06,-0.6754371445994897
168.9768285,-77.98016383,149.9754588,24.62974826903812,-1.39e-06,-0.7378867296351874
169.9766914,-78.46511645,150.8498425,23.98322769973088,-4.02e-07,-0.800382492906532
170.9765543,-78.95006629,151.7242277,24.485523721609596,6e-07,-0.862802720743464
171.9764172,-79.43501427,152.5986139,25.103514578508634,1.23e-06,-0.9250214309339624
172.9762801,-79.91996234,153.4730001,25.560486227229873,9.78e-07,-0.9869094425912052
173.9761429,-80.40491247,154.3473851,26.273614204212258,-6.91e-07,-1.0483348168092634
174.9760058,-80.88986664,155.2217679,25.54605890927191,-4.24e-06,-1.1091636220570344
175.9758687,-81.37482593,156.0961478,26.662637872017715,-9.98e-06,-1.1692559715481214
176.9757316,-81.859788,156.9705262,27.54113108830822,-1.8e-05,-1.2284704529283557
177.9755945,-82.34474964,157.8449049,23.664847701625995,-2.83e-05,-1.2866680908729355
178.9754574,-82.82970768,158.7192855,27.99249968630253,-4.07e-05,-1.3437103820594365
179.9753203,-83.31465908,159.5936698,25.54812343201672,-5.48e-05,-1.399461504002061
180.9751832,-83.79960639,160.4680563,24.48668340898205,-7.03e-05,-1.4537883415343331
181.9750461,-84.2845593,161.3424398,24.469328929872006,-8.69e-05,-1.506562659183976
182.974909,-84.76952798,162.2168145,24.81090709522908,-0.000104269,-1.5576625299653166
183.9747718,-85.25452258,163.091175,24.392281064354783,-0.000122097,-1.6069734472482815
184.9746347,-85.7395493,163.9655177,22.995566586723317,-0.000140103,-1.6543888823899953
185.9744976,-86.22458533,164.8398552,23.856186219830583,-0.000158022,-1.6998119949340196
186.9743605,-86.70959486,165.7142074,22.958421322947782,-0.000175616,-1.7431587366533603
187.9742234,-87.19454206,166.588594,24.3333591051269,-0.000192666,-1.7843580093614495
188.9740863,-87.67939129,167.4630345,22.921245600458587,-0.000208974,-1.8233512941273875
189.9739492,-88.16415408,168.3375227,24.37086102129649,-0.000224358,-1.860094538197644
190.9738121,-88.64894808,169.2119937,23.104369586266547,-0.000238653,-1.8945588030733629
191.973675,-89.1339055,170.0863746,24.444315740013128,-0.000251711,-1.926728597575376
192.9735379,-89.61915852,170.9605925,22.985064914263745,-0.000263397,-1.9566026649219748
193.9734008,-90.10481792,171.8345862,24.527381982772727,-0.000273595,-1.984194915914548
194.9732636,-90.59066328,172.7084775,24.196976877141722,-0.000282206,-2.0095222493886045
