s,x,y,kappa,altitude (m)
0,-0.250744036,4.152793752,-2.30E-05,1.214
0.999896694,-1.248832689,4.092690091,-2.28E-05,1.175
1.999793388,-2.246925934,4.032662815,-2.26E-05,1.136
2.999690082,-3.245023252,3.972703314,-2.25E-05,1.097
3.999586776,-4.243124123,3.912802979,-2.23E-05,1.059
4.99948347,-5.241228027,3.852953199,-2.22E-05,1.021
5.999380164,-6.239334446,3.793145364,-2.20E-05,0.983
6.999276857,-7.23744277,3.733369333,-2.18E-05,0.945
7.999173551,-8.235552099,3.673610101,-2.17E-05,0.908
8.999070245,-9.233661478,3.613851709,-2.15E-05,0.871
9.998966939,-10.23177033,3.554084562,-2.14E-05,0.834
10.99886363,-11.22987917,3.494317116,-2.12E-05,0.797
11.99876033,-12.22798869,3.434560992,-2.10E-05,0.761
12.99865702,-13.22609928,3.37482291,-2.09E-05,0.725
13.99855371,-14.22421061,3.31509714,-2.07E-05,0.689
14.99845041,-15.22232222,3.255376038,-2.06E-05,0.654
15.9983471,-16.220434,3.195657762,-2.04E-05,0.618
16.9982438,-17.21854663,3.13595367,-2.02E-05,0.583
17.99814049,-18.2166609,3.076276924,-2.01E-05,0.548
18.99803718,-19.2147774,3.016637682,-1.99E-05,0.514
19.99793388,-20.21289639,2.957039966,-1.98E-05,0.479
20.99783057,-21.21101805,2.897487018,-1.96E-05,0.451
21.99772727,-22.20914237,2.837978746,-1.95E-05,0.532
22.99762396,-23.20726899,2.778508941,-1.93E-05,0.614
23.99752065,-24.20539749,2.719070741,-1.91E-05,0.696
24.99741735,-25.20352747,2.659657388,-1.89E-05,0.777
25.99731404,-26.20165853,2.600262305,-1.87E-05,0.859
26.99721074,-27.1997903,2.540879003,-1.85E-05,0.941
27.99710743,-28.19792262,2.48150502,-1.82E-05,1.024
28.99700412,-29.1960557,2.422143892,-1.78E-05,1.106
29.99690082,-30.19418978,2.362799447,-1.73E-05,1.188
30.99679751,-31.19232458,2.303467179,-1.67E-05,1.271
31.99669421,-32.19045917,2.244131362,-1.60E-05,1.354
32.9965909,-33.1885926,2.184775996,-1.51E-05,1.436
33.99648759,-34.18672494,2.125402397,-1.41E-05,1.519
34.99638429,-35.18485753,2.066032942,-1.29E-05,1.602
35.99628098,-36.18299174,2.006690738,-1.17E-05,1.686
36.99617768,-37.18112806,1.947384068,-1.03E-05,1.769
37.99607437,-38.17926602,1.888104924,-8.96E-06,1.852
38.99597106,-39.17740511,1.828844896,-7.56E-06,1.936
39.99586776,-40.17554543,1.769605445,-6.17E-06,2.019
40.99576445,-41.17368763,1.710397836,-4.82E-06,2.103
41.99566114,-42.17183237,1.651233057,-3.51E-06,2.187
42.99555784,-43.16997951,1.592108689,-2.29E-06,2.271
43.99545453,-44.16812818,1.533010273,-1.15E-06,2.355
44.99535123,-45.16627755,1.473923566,-1.02E-07,2.44
45.99524792,-46.16442738,1.414844725,8.53E-07,2.524
46.99514461,-47.16257796,1.355778358,1.73E-06,2.609
47.99504131,-48.16072947,1.296727859,2.54E-06,2.693
48.994938,-49.15888092,1.237676344,3.28E-06,2.778
49.9948347,-50.15703043,1.17859206,3.99E-06,2.863
50.99473139,-51.15517625,1.11944557,4.65E-06,2.948
51.99462808,-52.15331855,1.060239473,5.29E-06,3.037
52.99452478,-53.15145872,1.000997566,5.91E-06,3.139
53.99442147,-54.14959804,0.94174133,6.51E-06,3.241
54.99431817,-55.1477361,0.882463993,7.09E-06,3.343
55.99421486,-56.14587151,0.823141921,7.65E-06,3.446
56.99411155,-57.14400306,0.763755022,8.19E-06,3.549
57.99400825,-58.14213161,0.704317764,8.67E-06,3.652
58.99390494,-59.14025914,0.644863189,9.09E-06,3.755
59.99380164,-60.1383874,0.585420976,9.44E-06,3.859
60.99369833,-61.13651646,0.52599225,9.71E-06,3.962
61.99359502,-62.13464557,0.466564338,9.90E-06,4.066
62.99349172,-63.13277415,0.407127503,1.00E-05,4.171
63.99338841,-64.1309029,0.347693553,1.00E-05,4.275
64.99328511,-65.12903308,0.288283641,9.96E-06,4.38
65.9931818,-66.12716569,0.228914525,9.86E-06,4.485
66.99307849,-67.12530006,0.169575036,9.73E-06,4.59
67.99297519,-68.12343489,0.110243149,9.59E-06,4.696
68.99287188,-69.12156908,0.05090059,9.47E-06,4.802
69.99276857,-70.1197028,-0.008449808,9.41E-06,4.908
70.99266527,-71.11783666,-0.067797875,9.44E-06,5.014
71.99256196,-72.11597102,-0.127137585,9.58E-06,5.121
72.99245866,-73.11410501,-0.186483556,9.87E-06,5.227
73.99235535,-74.11223737,-0.245856809,1.03E-05,5.335
74.99225204,-75.11036719,-0.305272743,1.09E-05,5.442
75.99214874,-76.10849504,-0.364721854,1.16E-05,5.549
76.99204543,-77.10662189,-0.424187746,1.26E-05,5.657
77.99194213,-78.10474837,-0.483659919,1.36E-05,5.765
78.99183882,-79.10287371,-0.543151086,1.48E-05,5.874
79.99173551,-80.10099682,-0.60267968,1.60E-05,5.982
80.99163221,-81.09911721,-0.662253871,1.74E-05,6.091
81.9915289,-82.09723654,-0.721845789,1.87E-05,6.2
82.9914256,-83.09535695,-0.78141967,2.00E-05,6.261
83.99132229,-84.09347962,-0.840955716,2.13E-05,6.259
84.99121898,-85.09160274,-0.900484109,2.25E-05,6.258
85.99111568,-86.08972394,-0.960044763,2.33E-05,6.255
86.99101237,-87.08784192,-1.019659322,2.39E-05,6.253
87.99090907,-88.08595844,-1.079298338,2.45E-05,6.249
88.99080576,-89.08407578,-1.138923562,2.56E-05,6.246
89.99070245,-90.08219497,-1.198517988,2.81E-05,6.241
90.99059915,-91.08031383,-1.25811776,3.25E-05,6.237
91.99049584,-92.07842973,-1.317767117,3.95E-05,6.231
92.99039254,-93.0765411,-1.377492329,4.94E-05,6.226
93.99028923,-94.07464876,-1.437279372,6.20E-05,6.219
94.99018592,-95.07275389,-1.497108822,7.72E-05,6.213
95.99008262,-96.07085695,-1.556972704,9.43E-05,6.206
96.98997931,-97.06895704,-1.616886107,0.00011272,6.198
97.989876,-98.06705308,-1.676866756,0.000132018,6.19
98.9897727,-99.06514476,-1.736919919,0.000151865,6.181
99.98966939,-100.0632331,-1.797028295,0.000171988,6.172
100.9895661,-101.0613194,-1.857172394,0.000192101,6.162
101.9894628,-102.0594038,-1.917345812,0.000211912,6.152
102.9893595,-103.0574856,-1.977563497,0.000231138,6.141
103.9892562,-104.0555636,-2.037841875,0.000249525,6.13
104.9891529,-105.0536385,-2.098171552,0.00026685,6.118
105.9890496,-106.0517133,-2.158505137,0.000282918,6.106
106.9889463,-107.0497912,-2.218793492,0.000297556,6.093
107.9888429,-108.0478716,-2.279040445,0.000310616,6.08
108.9887396,-109.0459496,-2.339320202,0.000321965,6.066
109.9886363,-110.0440198,-2.39970806,0.000331495,6.052
110.988533,-111.042086,-2.460155805,0.000339118,6.037
111.9884297,-112.0401625,-2.520466958,0.000344771,6.022
112.9883264,-113.0382623,-2.580469112,0.000348413,6.006
113.9882231,-114.0363397,-2.640855458,0.00035002,6.015
114.9881198,-115.0342862,-2.703250849,0.000349583,6.04
115.9880165,-116.0319961,-2.769237006,0.000347109,6.063
116.9879132,-117.0294824,-2.83860807,0.000342624,6.087
117.9878099,-118.0268678,-2.909506068,0.00033617,6.11
118.9877066,-119.0242738,-2.980092303,0.000327802,6.133
119.9876033,-120.0217366,-3.049818299,0.000317587,6.155
120.9875,-121.0192243,-3.119167659,0.000305611,6.178
121.9873967,-122.0167047,-3.18862579,0.000291976,6.2
122.9872934,-123.0141703,-3.258308839,0.000276798,6.221
