latitude,longitude
-6.118483561,106.8588023
-6.118549868,106.8577648
-6.118571346,106.8573696
-6.118606459,106.8568664
-6.118634526,106.856443
-6.118647177,106.8562901
-6.118654064,106.856171
-6.11865469,106.8560946
-6.118647888,106.8560209
-6.118633466,106.8559751
-6.118605957,106.8559413
-6.11856201,106.8559109
-6.118510099,106.8559073
-6.118458309,106.8559089
-6.118370141,106.8559223
-6.118310641,106.8559344
-6.118209072,106.8559558
-6.118104956,106.8559831
-6.117912238,106.8560512
-6.117618262,106.8561802
-6.117565595,106.8562132
-6.11752717,106.8562532
-6.117508118,106.8562806
-6.117492453,106.8563238
-6.117481985,106.8563673
-6.117481883,106.8563694
-6.117475315,106.8564183
-6.117474316,106.8564811
-6.11747451,106.8565408
-6.11747777,106.8566018
-6.117485714,106.8566734
-6.117501073,106.8567213
-6.117521988,106.8567622
-6.117548597,106.856783
-6.117586961,106.8567968
-6.117625771,106.8568025
-6.117770044,106.8568042
-6.117900258,106.8568013
-6.117962818,106.8568002
-6.118031614,106.8567994
-6.118068975,106.8568023
-6.118115449,106.8568088
-6.118156352,106.8568245
-6.118194818,106.8568473
-6.118239703,106.8568831
-6.118306357,106.8569472
-6.118356109,106.8570074
-6.118399015,106.8570672
-6.118430912,106.857139
-6.118446182,106.8572099
-6.118450738,106.8572657
-6.118450331,106.8573356
-6.118450025,106.8574268
-6.118432174,106.8579391
-6.118413053,106.858265
-6.118404266,106.8583379
-6.118393811,106.8584024
-6.118375116,106.85849
-6.118348573,106.858585
-6.118326737,106.8586479
-6.118295644,106.8587273
-6.118260363,106.8588094
-6.118221079,106.8588881
-6.118170889,106.8589768
-6.118043803,106.8591659
-6.117976626,106.8592611
-6.117822855,106.8594532
-6.117696284,106.8595824
-6.117618716,106.8596539
-6.117570308,106.8596851
-6.117518735,106.8597041
-6.117473945,106.8597039
-6.117431951,106.8596893
-6.117385903,106.8596595
-6.11735393,106.8596318
-6.117318261,106.8595944
-6.117241453,106.859492
-6.117142155,106.8593659
-6.117079452,106.8593062
-6.117033609,106.8592851
-6.11697214,106.8592852
-6.11691334,106.8593158
-6.116861804,106.8593709
-6.116811767,106.8594357
-6.116763001,106.8595056
-6.116689653,106.8596204
-6.116654307,106.8596825
-6.11663111,106.8597474
-6.116616652,106.8598085
-6.116606094,106.859875
-6.116599488,106.8599459
-6.116591748,106.8600399
-6.116578036,106.8601007
-6.116554955,106.8601676
-6.116522624,106.860232
-6.116487381,106.8602921
-6.116445634,106.8603476
-6.116355915,106.8604563
-6.116133692,106.8606719
-6.116093034,106.8607149
-6.116059548,106.8607604
-6.116036814,106.8607991
-6.116018711,106.8608495
-6.116013234,106.8608974
-6.116019136,106.860947
-6.116028619,106.8609873
-6.116044399,106.8610337
-6.116267322,106.8614992
-6.116321302,106.8615963
-6.116354058,106.8616293
-6.116399388,106.8616609
-6.116449285,106.8616843
-6.116522507,106.8616995
-6.116648198,106.8617188
-6.117667745,106.8618674
-6.118263532,106.861942
-6.118341219,106.8619511
-6.118398223,106.8619571
-6.118461566,106.8619613
-6.11849389,106.8619529
-6.118518716,106.8619353
-6.11854049,106.8619045
-6.118548893,106.8618819
-6.118551626,106.8618475
-6.118541887,106.8618124
-6.118518659,106.8617819
-6.118483825,106.8617488
-6.118438547,106.8617117
-6.118394257,106.8616802
-6.118335674,106.8616427
-6.117992654,106.8614291
-6.117898344,106.861373
-6.117843507,106.8613441
-6.117775789,106.8613229
-6.117718836,106.8613159
-6.117464568,106.8612991
-6.117365442,106.8612931
-6.117147823,106.861275
-6.117052686,106.861265
-6.117002372,106.8612531
-6.116965677,106.8612366
-6.116934281,106.8612183
-6.116535066,106.8609601
-6.116494285,106.8609296
-6.116465833,106.8608995
-6.116449243,106.8608766
-6.116440235,106.8608479
-6.116446085,106.8608136
-6.116462071,106.8607851
-6.116489031,106.8607514
-6.116524287,106.8607123
-6.11678569,106.8604589
-6.1168334,106.8604183
-6.116866848,106.8603948
-6.116900878,106.8603771
-6.116939214,106.8603601
-6.116980251,106.8603498
-6.117022283,106.8603425
-6.117059952,106.8603391
-6.117108848,106.8603405
-6.117182628,106.8603526
-6.117245398,106.8603709
-6.117303609,106.8603947
-6.117347066,106.860422
-6.117397079,106.8604643
-6.118038209,106.8610389
-6.118071867,106.8610699
-6.118108986,106.861099
-6.118147656,106.8611177
-6.118187045,106.8611218
-6.118236505,106.8611116
-6.118277074,106.8610917
-6.118309585,106.861066
-6.11833196,106.8610347
-6.118348511,106.8609946
-6.118358825,106.8609543
-6.118364932,106.8609148
-6.118483561,106.8588023
