latitude,longitude,elevation,time,speed,course,horizontal_dilution,vertical_dilution,position_dilution
-6.118485139,106.858802396,1.171,,,,,,
-6.118485688,106.858793379,1.141,,,,,,
-6.118486237,106.858784362,1.111,,,,,,
-6.118486787,106.858775345,1.082,,,,,,
-6.118487336,106.858766329,1.052,,,,,,
-6.118487885,106.858757312,1.023,,,,,,
-6.118488434,106.858748295,0.995,,,,,,
-6.118488984,106.858739278,0.966,,,,,,
-6.118489533,106.858730261,0.938,,,,,,
-6.118490081,106.858721244,0.91,,,,,,
-6.11849063,106.858712228,0.882,,,,,,
-6.118491178,106.858703211,0.855,,,,,,
-6.118491726,106.858694194,0.827,,,,,,
-6.118492274,106.858685177,0.8,,,,,,
-6.118492821,106.85867616,0.774,,,,,,
-6.118493368,106.858667143,0.747,,,,,,
-6.118493915,106.858658126,0.721,,,,,,
-6.118494462,106.858649109,0.695,,,,,,
-6.118495009,106.858640092,0.669,,,,,,
-6.118495555,106.858631075,0.644,,,,,,
-6.118496101,106.858622058,0.619,,,,,,
-6.118496647,106.858613041,0.594,,,,,,
-6.118497192,106.858604024,0.656,,,,,,
-6.118497737,106.858595007,0.742,,,,,,
-6.11849828,106.85858599,0.828,,,,,,
-6.118498821,106.858576972,0.915,,,,,,
-6.118499361,106.858567955,1.001,,,,,,
-6.118499899,106.858558937,1.088,,,,,,
-6.118500435,106.85854992,1.175,,,,,,
-6.118500968,106.858540902,1.262,,,,,,
-6.118501498,106.858531884,1.348,,,,,,
-6.118502026,106.858522866,1.436,,,,,,
-6.11850255,106.858513848,1.523,,,,,,
-6.118503071,106.858504829,1.61,,,,,,
-6.118503589,106.85849581,1.697,,,,,,
-6.118504103,106.858486791,1.785,,,,,,
-6.118504613,106.858477772,1.873,,,,,,
-6.118505119,106.858468753,1.96,,,,,,
-6.118505621,106.858459733,2.048,,,,,,
-6.118506118,106.858450713,2.136,,,,,,
-6.118506611,106.858441693,2.224,,,,,,
-6.118507098,106.858432673,2.312,,,,,,
-6.11850758,106.858423652,2.4,,,,,,
-6.118508057,106.858414631,2.489,,,,,,
-6.118508529,106.85840561,2.577,,,,,,
-6.118508995,106.858396588,2.665,,,,,,
-6.118509455,106.858387566,2.754,,,,,,
-6.118509909,106.858378544,2.842,,,,,,
-6.118510358,106.858369522,2.931,,,,,,
-6.118510801,106.858360499,3.02,,,,,,
-6.118511237,106.858351476,3.108,,,,,,
-6.118511668,106.858342453,3.197,,,,,,
-6.118512093,106.858333429,3.286,,,,,,
-6.118512512,106.858324405,3.396,,,,,,
-6.118512926,106.858315381,3.506,,,,,,
-6.118513335,106.858306357,3.616,,,,,,
-6.118513739,106.858297332,3.726,,,,,,
-6.118514139,106.858288307,3.837,,,,,,
-6.118514535,106.858279282,3.948,,,,,,
-6.118514928,106.858270257,4.059,,,,,,
-6.118515317,106.858261232,4.17,,,,,,
-6.118515703,106.858252207,4.281,,,,,,
-6.118516085,106.858243181,4.392,,,,,,
-6.118516465,106.858234156,4.503,,,,,,
-6.118516843,106.85822513,4.615,,,,,,
-6.118517217,106.858216104,4.727,,,,,,
-6.118517588,106.858207078,4.839,,,,,,
-6.118517956,106.858198052,4.951,,,,,,
-6.118518321,106.858189026,5.063,,,,,,
-6.118518683,106.858179999,5.175,,,,,,
-6.118519043,106.858170973,5.288,,,,,,
-6.118519401,106.858161946,5.4,,,,,,
-6.118519757,106.85815292,5.513,,,,,,
-6.118520111,106.858143893,5.626,,,,,,
-6.118520464,106.858134866,5.739,,,,,,
-6.118520815,106.858125839,5.852,,,,,,
-6.118521165,106.858116812,5.965,,,,,,
-6.118521515,106.858107786,6.079,,,,,,
-6.118521863,106.858098759,6.193,,,,,,
-6.11852221,106.858089732,6.306,,,,,,
-6.118522557,106.858080705,6.42,,,,,,
-6.118522903,106.858071678,6.535,,,,,,
-6.11852325,106.858062651,6.649,,,,,,
-6.118523596,106.858053624,6.735,,,,,,
-6.118523943,106.858044597,6.715,,,,,,
-6.118524291,106.85803557,6.696,,,,,,
-6.118524639,106.858026543,6.676,,,,,,
-6.118524989,106.858017516,6.656,,,,,,
