s,x,y,kappa,altitude (m)
0,0.010603343,-0.175611333,0.000247831,1.171
0.999905749,-0.987430888,-0.236760172,0.000229022,1.141
1.999811498,-1.985464804,-0.297914162,0.000210214,1.111
2.999717247,-2.983498608,-0.359069962,0.000191406,1.082
3.999622996,-3.981532507,-0.42022423,0.000172598,1.052
4.999528744,-4.979566704,-0.481373623,0.00015379,1.023
5.999434493,-5.977601404,-0.5425148,0.000134982,0.995
6.999340242,-6.975636834,-0.603644074,0.000116175,0.966
7.999245991,-7.973673285,-0.664756667,9.74E-05,0.938
8.99915174,-8.971711063,-0.725847585,7.86E-05,0.91
9.999057489,-9.969750451,-0.786912196,5.98E-05,0.882
10.99896324,-10.96779167,-0.847946901,4.09E-05,0.855
11.99886899,-11.96583492,-0.908948284,2.21E-05,0.827
12.99877474,-12.96388028,-0.969915204,3.33E-06,0.8
13.99868048,-13.96192747,-1.030852282,-1.55E-05,0.774
14.99858623,-14.95997614,-1.091765035,-3.43E-05,0.747
15.99849198,-15.95802605,-1.152657386,-5.31E-05,0.721
16.99839773,-16.95607719,-1.213529651,-7.19E-05,0.695
17.99830348,-17.95412956,-1.274381621,-9.07E-05,0.669
18.99820923,-18.95218339,-1.335209736,-0.000109506,0.644
19.99811498,-19.95023931,-1.3960036,-0.000128313,0.619
20.99802073,-20.948298,-1.456751909,-0.00014719,0.594
21.99792648,-21.94636061,-1.517435934,-0.000166011,0.656
22.99783222,-22.94442908,-1.578023319,-0.000184724,0.742
23.99773797,-23.94250547,-1.638480272,-0.000203336,0.828
24.99764372,-24.9405917,-1.698774597,-0.00022189,0.915
25.99754947,-25.93868952,-1.75887674,-0.000240452,1.001
26.99745522,-26.93680066,-1.818757399,-0.000259091,1.088
27.99736097,-27.93492681,-1.878387553,-0.000277864,1.175
28.99726672,-28.93306959,-1.937738599,-0.0002968,1.262
29.99717247,-29.93123061,-1.996782118,-0.000315893,1.348
30.99707822,-30.92941109,-2.055495952,-0.000335093,1.436
31.99698396,-31.92761171,-2.113866359,-0.000354125,1.523
