s,x,y,kappa,heading,track_width_left,track_width_right,normal_x,normal_y
0.0,0.0,0.0,-1.4274263418097043e-17,3.201899041043863,5.0,5.0,0.06026983978223296,-0.9981821208640356
1.0,-0.9981821208640353,-0.060269839782232854,-1.374223419571663e-17,3.201899041043863,5.0,5.0,0.06026983978223295,-0.9981821208640355
2.0,-1.9963642417280711,-0.1205396795644658,-1.3210204973336218e-17,3.201899041043863,5.0,5.0,0.06026983978223296,-0.9981821208640356
3.0,-2.9945463625921067,-0.18080951934669878,-1.2678175750955804e-17,3.201899041043863,4.999999999999999,5.000000000000002,0.060269839782232944,-0.9981821208640355
4.0,-3.9927284834561423,-0.24107935912893172,-1.2146146528575391e-17,3.201899041043863,4.999999999999999,5.000000000000001,0.06026983978223295,-0.9981821208640356
5.0,-4.990910604320177,-0.30134919891116463,-1.1614117306195001e-17,3.201899041043863,5.0,5.0,0.06026983978223296,-0.9981821208640356
6.0,-5.989092725184213,-0.3616190386933976,-1.1082088083814589e-17,3.201899041043863,5.0,5.0,0.060269839782232944,-0.9981821208640355
7.0,-6.9872748460482486,-0.42188887847563056,-1.0550058861434174e-17,3.201899041043863,5.0,5.0,0.06026983978223295,-0.9981821208640356
8.0,-7.985456966912284,-0.48215871825786344,-1.0018029639053762e-17,3.201899041043863,5.000000000000001,4.999999999999999,0.06026983978223295,-0.9981821208640356
9.0,-8.98363908777632,-0.5424285580400965,-9.48600041667335e-18,3.201899041043863,5.0,5.0,0.06026983978223294,-0.9981821208640355
10.0,-9.981821208640353,-0.6026983978223294,-8.953971194292941e-18,3.201899041043863,5.0,5.0,0.060269839782232944,-0.9981821208640355
11.0,-10.98000332950439,-0.6629682376045624,-8.421941971912528e-18,3.201899041043863,5.0,5.0,0.060269839782232944,-0.9981821208640356
12.0,-11.978185450368427,-0.7232380773867952,-7.889912749532119e-18,3.201899041043863,5.0,5.0,0.060269839782232944,-0.9981821208640356
13.0,-12.976367571232464,-0.7835079171690282,-7.357883527151709e-18,3.201899041043863,5.0,5.0,0.060269839782232944,-0.9981821208640356
14.0,-13.974549692096497,-0.8437777569512611,-6.825854304771301e-18,3.201899041043863,5.000000000000001,4.999999999999999,0.060269839782232944,-0.9981821208640356
15.0,-14.972731812960536,-0.9040475967334942,-6.293825082390892e-18,3.201899041043863,5.0,5.0,0.06026983978223295,-0.9981821208640356
16.0,-15.970913933824567,-0.9643174365157269,-5.761795860010483e-18,3.201899041043863,5.0,5.0,0.06026983978223293,-0.9981821208640355
17.0,-16.969096054688602,-1.0245872762979598,-5.229766637630075e-18,3.201899041043863,5.0,5.0,0.060269839782232916,-0.9981821208640355
18.0,-17.96727817555264,-1.084857116080193,-4.697737415249667e-18,3.201899041043863,5.0,5.0,0.06026983978223294,-0.9981821208640356
19.0,-18.965460296416673,-1.1451269558624257,-4.16570819286926e-18,3.201899041043863,5.0,5.0,0.060269839782232944,-0.9981821208640356
20.0,-19.96364241728071,-1.2053967956446585,-3.6475115542078634e-18,3.201899041043863,5.0,5.0,0.06026983978223292,-0.9981821208640355
21.0,-20.961824538144736,-1.2656666354268915,-3.234114623966355e-18,3.201899041043863,5.0,5.0,0.060269839782232944,-0.9981821208640356
22.0,-21.96000665900878,-1.3259364752091247,-2.752904206545112e-18,3.201899041043863,4.999999999999999,5.0,0.06026983978223292,-0.9981821208640355
23.0,-22.958188779872813,-1.3862063149913575,-1.7851477718888363e-18,3.201899041043863,5.0,5.0,0.06026983978223296,-0.9981821208640356
24.0,-23.956370900736854,-1.4464761547735905,-8.721683290952896e-19,3.201899041043863,5.0,5.0,0.06026983978223292,-0.9981821208640355
25.0,-24.954553021600894,-1.5067459945558235,-1.0442549382387825e-19,3.201899041043863,5.0,5.0,0.060269839782232944,-0.9981821208640355
26.0,-25.95273514246492,-1.5670158343380562,7.976901408632051e-19,3.201899041043863,5.0,5.0,0.06026983978223294,-0.9981821208640356
27.0,-26.950917263328957,-1.6272856741202892,7.065798072012995e-19,3.201899041043863,5.0,5.0,0.06026983978223294,-0.9981821208640356
28.0,-27.949099384192994,-1.6875555139025222,7.884942653493494e-19,3.201899041043863,5.0,5.0,0.060269839782232916,-0.9981821208640356
29.0,-28.947281505057028,-1.7478253536847552,8.254274748573301e-19,3.201899041043863,5.0,5.0,0.06026983978223292,-0.9981821208640356
30.0,-29.94546362592107,-1.8080951934669884,7.918658066222562e-19,3.201899041043863,5.0,5.0,0.06026983978223293,-0.9981821208640355
31.0,-30.943645746785094,-1.8683650332492208,4.215787118031994e-19,3.201899041043863,4.999999999999999,5.0,0.06026983978223294,-0.9981821208640355
32.0,-31.941827867649135,-1.9286348730314542,2.9843544159454475e-19,3.201899041043863,5.0,5.0,0.06026983978223293,-0.9981821208640355
33.0,-32.940009988513175,-1.9889047128136867,9.212910593782652e-19,3.201899041043863,5.0,5.0,0.060269839782232944,-0.9981821208640355
34.0,-33.938192109377205,-2.04917455259592,8.974722744085032e-19,3.201899041043863,5.000000000000001,5.0,0.06026983978223295,-0.9981821208640355
35.0,-34.93637423024124,-2.1094443923781525,1.1674384014917469e-18,3.201899041043863,5.000000000000002,5.0,0.060269839782232944,-0.9981821208640355
36.0,-35.93455635110528,-2.169714232160386,1.7388735580850024e-18,3.201899041043863,5.0,5.0,0.06026983978223298,-0.9981821208640355
37.0,-36.93273847196931,-2.229984071942618,1.3670729650354166e-18,3.201899041043863,5.0,5.0,0.06026983978223296,-0.9981821208640355
38.0,-37.930920592833345,-2.290253911724851,2.012210257641416e-18,3.201899041043863,4.999999999999999,5.0,0.06026983978223295,-0.9981821208640355
39.0,-38.92910271369738,-2.3505237515070845,2.1660086614759723e-18,3.201899041043863,5.0,5.0,0.06026983978223294,-0.9981821208640356
40.0,-39.92728483456142,-2.4107935912893175,1.916873124057985e-18,3.201899041043863,4.999999999999999,5.0,0.060269839782232944,-0.9981821208640356
41.0,-40.925466955425456,-2.4710634310715505,2.0240693487712893e-18,3.201899041043863,5.0,5.0,0.06026983978223294,-0.9981821208640356
42.0,-41.92364907628947,-2.531333270853783,1.141279938229899e-18,3.201899041043863,4.999999999999999,5.0,0.06026983978223294,-0.9981821208640356
43.0,-42.92183119715352,-2.591603110636016,1.0414749463101866e-18,3.201899041043863,5.0,5.0,0.06026983978223292,-0.9981821208640355
44.0,-43.92001331801756,-2.6518729504182494,6.807840425584519e-20,3.201899041043863,5.0,5.0,0.060269839782232944,-0.9981821208640356
45.0,-44.918195438881604,-2.7121427902004824,-1.4468225990821554e-19,3.201899041043863,5.0,5.0,0.06026983978223293,-0.9981821208640356
46.0,-45.91637755974563,-2.772412629982715,-1.0188607179469628e-18,3.201899041043863,5.0,5.0,0.06026983978223294,-0.9981821208640355
47.0,-46.914559680609656,-2.832682469764948,-1.7018424353665935e-18,3.201899041043863,4.999999999999999,5.0,0.06026983978223293,-0.9981821208640355
48.0,-47.91274180147371,-2.892952309547181,-1.6764986465702782e-18,3.201899041043863,5.0,5.0,0.06026983978223294,-0.9981821208640356
49.0,-48.91092392233774,-2.9532221493294135,-2.4752848647677458e-18,3.201899041043863,5.0,5.0,0.060269839782232944,-0.9981821208640355
50.0,-49.90910604320178,-3.0134919891116474,-2.2872707951123515e-18,3.201899041043863,5.0,5.0,0.06026983978223292,-0.9981821208640356
51.0,-50.90728816406582,-3.0737618288938795,-1.3986244105751474e-18,3.201899041043863,5.000000000000001,4.999999999999999,0.06026983978223295,-0.9981821208640356
52.0,-51.90547028492985,-3.134031668676113,-9.174142834348897e-19,3.201899041043863,4.999999999999999,5.0,0.06026983978223291,-0.9981821208640355
53.0,-52.90365240579388,-3.194301508458346,6.21253121294912e-19,3.201899041043863,5.000000000000001,4.999999999999999,0.06026983978223293,-0.9981821208640355
